excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),Inflation_roll5,RealRate_roll5,Resource_HHI,HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
MDG,-0.0,0.004547478539825267,0.0,0.0,-0.0,0.0,0.0,0.06746307590343764,-0.0,0.0029012728126297455,-0.0,-0.0,-0.0,0.0,-0.0,0.014319820632898389,-0.0,0.5069803512786574,-0.0,-0.0,0.0,-0.0,0.01241909390266701,0.0
MLI,-0.0,0.006502308086419581,0.0,0.0,-0.0,0.0,0.0,0.06661437442471389,-0.0,0.0025686181665569934,-0.0,-0.0,-0.0,0.0,-0.0,0.013830877058766015,-0.0,0.5094367094873549,-0.0,-0.0,0.0,-0.0,0.010887725501153297,0.0
MMR,-0.0,0.0031496524895217176,0.0,0.0,-0.0,0.0,0.0,0.06766283150086484,-0.0,0.0037483569718111303,-0.0,-0.0,-0.0,0.0,-0.0,0.016060325785165152,-0.0,0.50086136216143,-0.0,-0.0,0.0,-0.0,0.011915623919465766,0.0
MNG,-0.0,0.013465905322031029,0.0,0.0,-0.0,0.0,0.0,0.07156897396737623,-0.0,0.003897297031784715,-0.0,-0.0,-0.0,0.0,-0.0,0.013113748925499174,-0.0,0.500869156125693,-0.0,0.0,0.0,-0.0,0.0163984934819681,0.0
MOZ,-0.0,0.0046689450805002105,0.0,0.0,-0.0,0.0,0.0,0.06863149327842018,-0.0,0.004383098965677561,-0.0,-0.0,-0.0,0.0,-0.0,0.014350226181114605,-0.0,0.5082247178005225,-0.0,-0.0,0.0,-0.0,0.012152266649811824,0.0
MWI,-0.0,0.004903359935930012,0.0,0.0,-0.0,0.0,0.0,0.06786943814725357,-0.0,0.004646901363623654,-0.0,-0.0,-0.0,0.0,-0.0,0.01582219073170566,-0.0,0.5056639229869198,-0.0,0.0,0.0,-0.0,0.01524292918319544,0.0
MYS,-0.0,0.0034641779956010384,0.0,0.0,-0.0,0.0,0.0,0.053219768698083036,-0.0,0.003384385502280052,-0.0,-0.0,-0.0,0.0,-0.0,0.01562828834323159,-0.0,0.48010516533733794,-0.0,-0.0,0.0,-0.0,0.01169569981436461,0.0
NER,-0.0,0.00830950662542611,0.0,0.0,-0.0,0.0,0.0,0.06679989140625751,-0.0,0.0026173440987948,-0.0,-0.0,-0.0,0.0,-0.0,0.013608071052067124,-0.0,0.5079387801551546,-0.0,0.0,0.0,-0.0,0.00854153146832402,0.0
NGA,0.0,0.0002656298982084357,0.0,0.0,-0.0,0.0,0.0,0.07099295221494019,-0.0,0.01796477437896944,-0.0,-0.0,-0.0,0.0,-0.0,0.012970173545168929,-0.0,0.485223701370274,-0.0,-0.0,0.0,-0.0,0.009065899376737584,0.0
OMN,-0.0,0.004604327105738905,0.0,0.0,-0.0,0.0,0.0,0.06852355654366045,-0.0,0.004714716367531868,-0.0,-0.0,-0.0,0.0,-0.0,0.015645695525800307,-0.0,0.5085425550347635,-0.0,-0.0,0.0,-0.0,0.013492388841570998,0.0
PNG,0.0,0.006173566976504393,0.0,0.0,-0.0,0.0,0.0,0.0709162324887194,-0.0,0.0028617661755251235,-0.0,-0.0,-0.0,-0.0,-0.0,0.008650500289914246,-0.0,0.4976215517967709,-0.0,-0.0,-0.0,-0.0,0.008763846042108473,0.0
QAT,-0.0,0.005566614187000854,0.0,0.0,-0.0,0.0,0.0,0.06883865436241661,-0.0,0.005623611797136789,-0.0,-0.0002779711934016624,-0.0,0.0,-0.0,0.013897643560555346,-0.0,0.5066303956003773,-0.0,0.0,0.0,-0.0,0.013422538723172155,0.0
RUS,-0.0,0.0,0.0,0.0017015482533353286,-0.0,0.0,0.0,0.08179067737510347,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.017323321259645832,-0.0,0.46271734586456525,-0.0,-0.0,0.0,0.0,0.012882884143957354,0.0
RWA,-0.0,0.005080793385851121,0.0,0.0,-0.0,0.0,0.0,0.06743347844511167,-0.0,0.00429972701921778,-0.0,-0.0,-0.0,0.0,-0.0,0.014665900046882117,-0.0,0.5080659166275155,-0.0,0.0,0.0,-0.0,0.014555232160683454,0.0
SAU,-0.0,0.006075603524227684,0.0,0.0,-0.0,0.0,0.0,0.07208582875566595,-0.0,0.003955716332549876,-0.0,-0.0,-0.0,0.0,-0.0,0.0075521825013715495,-0.0,0.48650127676592214,-0.0,-0.0,0.0,-0.0,0.008865126682785588,0.0
TCD,0.0,0.007150233498440306,0.0,0.0,-0.0,0.0,0.0,0.0635503591463302,-0.0,0.0022146578685292434,-0.0,-0.0,-0.0,-0.0,-0.0,0.005788463612354503,-0.0,0.5077499681920518,-0.0,-0.0,-0.0,-0.0,8.024761278769109e-06,0.0
TGO,-0.0,0.005504169674424243,0.0,0.0,-0.0,0.0,0.0,0.06851038452985551,-0.0,0.004993400914562045,-0.0,-0.0,-0.0,0.0,-0.0,0.01607895661247513,-0.0,0.5059128174396583,-0.0,0.0,0.0,-0.0,0.014595687977987866,0.0
TTO,-0.0,0.004812105388736263,0.0,0.0,-0.0,0.0,0.0,0.06914852784064192,-0.0,0.00646358318760533,-0.0,-0.0,-0.0,0.0,-0.0,0.014636544639414266,-0.0,0.5023043482450729,-0.0,0.0,0.0,-0.0,0.0139191822196647,0.0
TZA,-0.0,0.00418202807561658,0.0,0.0,-0.0,0.0,0.0,0.06745297189242608,-0.0,0.002698727309450738,-0.0,-0.0,-0.0,0.0,-0.0,0.015877843500518973,-0.0,0.5073613895160614,-0.0,-0.0,0.0,-0.0,0.011573317276831347,0.0
UGA,-0.0,0.0029797570293832133,0.0,0.0,-0.0,0.0,0.0,0.06898339877314942,-0.0,0.004841087553448637,-0.0,-0.0,-0.0,0.0,-0.0,0.019851791776100657,-0.0,0.5063261694045016,-0.0,0.0,0.0,-0.0,0.01548772480592443,0.0
UZB,-0.0,0.0051595207877852736,0.0,0.0,-0.0,0.0,0.0,0.07025955684016164,-0.0,0.00361205090729473,-0.0,-0.0,-0.0,0.0,-0.0,0.011848737443021328,-0.0,0.5069351760048109,-0.0,-0.0,0.0,-0.0,0.012115313015615173,0.0
VEN,-0.0,0.007551383694820895,0.0,0.0,-0.0,0.0,0.0,0.0744715121126313,-0.0,0.004137500704068253,-0.0,-0.0,-0.0,0.0,-0.0,0.009433261094041395,-0.0,0.4955384130102363,-0.0,-0.0,0.0,-0.0,0.013852061866180416,0.0
VNM,-0.0,0.004212700076925742,0.0,0.0,-0.0,0.0,0.0,0.06780653424338402,-0.0,0.003180634437578186,-0.0,-0.0,-0.0,0.0,-0.0,0.014009721929117454,-0.0,0.506630185150326,-0.0,-0.0,0.0,-0.0,0.011610707527292319,0.0
YEM,-0.0,0.0021493032347358206,0.0,0.0,-0.0,0.0,0.0,0.06803169232012775,-0.0,0.0044020259968428075,-0.0,-0.0,-0.0,0.0,-0.0,0.017793794566854218,-0.0,0.5046404480750839,-0.0,-0.0,0.0,-0.0,0.013225594632553258,0.0
ZMB,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.06829680390931604,-0.0,0.0032875187190666354,-0.0,-0.0,-0.0,0.0,-0.0,0.020572109432023946,-0.0,0.5069258262363162,-0.0,-0.0,0.0,-0.0,0.013384351200230822,0.0
ZWE,-0.0,0.0029966626546321434,0.0,0.0,-0.0,0.0,0.0,0.0674908153328204,-0.0,0.0034321693883893984,-0.0,-0.0,-0.0,0.0,-0.0,0.017356442602284687,-0.0,0.5068930626789391,-0.0,-0.0,0.0,-0.0,0.013195069234647666,0.0
