excluded_country,const,log_HCI,log_GFCF,Political stability — estimate,Rule of law index,log_Production_Value,Forestry rents (% of GDP),Trade (% of GDP),log_HCI_x_log_Production,log_GFCF_x_log_Production,log_HCI_x_forestry_rents,log_GFCF_x_forestry_rents,ECI_lag1
IRN,-0.5658514963704354,0.2857494657673656,0.035738121304991405,0.011696324052738821,0.06037055939926618,-0.009689620308903774,-0.004909784761035889,0.00043712161001044,0.046181621444169,0.009153117878555446,-0.024248744729297583,0.00666458299170195,0.8053427896298527
IRQ,-0.4886178205978597,0.2228846889074959,0.033517923118607844,-0.0035055655401619312,0.06553011974155162,-0.007214551434875167,-0.005026774250592058,0.0005230989898458273,0.03840050538315411,0.008569968816352923,-0.023344815174893785,0.006175324455218993,0.8379173632613414
KAZ,-0.5548220954845756,0.28566551597230866,0.036584038613954234,0.013758097056573309,0.05094243363680567,-0.008717554690628376,-0.005079382432279652,0.0003072696894478587,0.048176986741005234,0.008026279156701068,-0.023330334356929855,0.0061631422289463375,0.8063609151829855
KEN,-0.548131161263657,0.26739774135062494,0.036248827782223964,0.01300048527702008,0.056454363940325394,-0.007122420957457999,-0.004665155846818088,0.0003166730956897114,0.04705894106131306,0.008438536160131278,-0.022774181096053905,0.006330816651150715,0.8065775007197163
KWT,-0.5698275574860252,0.30511898388402336,0.03812491563384241,0.01043650468443421,0.04242873689643559,-0.0117991305198408,-0.005391058390897185,0.00035922897056821104,0.04966742449660294,0.007548555436720447,-0.023108816014856814,0.00610002585217141,0.805174067038944
LAO,-0.5485584011715748,0.2769199273096705,0.03811554279201743,0.012624951760619996,0.05623257886703305,-0.009572068409324772,-0.0052487221894233944,0.0003562090221770261,0.04367874615616379,0.008079287710402394,-0.023734857258264935,0.0061614355941008135,0.8066548334788592
LBR,-0.5057567876174696,0.2653283669832893,0.029713598164462854,0.014120027255453926,0.06084022624026675,-0.010669798753646726,-0.008065558401057138,0.0004101377282101957,0.04400830892985053,0.00786349439463739,-0.021369833960322437,0.0026406010974257717,0.8062924387980688
LBY,-0.5253589308419994,0.261141124331989,0.03413228530023834,0.012057309649318518,0.05831294157316874,-0.007727967490390258,-0.004785269956817345,0.0003237648145305791,0.04399664705977977,0.006744677055474822,-0.02244111022790035,0.006007956309650047,0.8132106894555744
MDG,-0.5341017792365836,0.2793025261744127,0.03518738435945472,0.014931368889301036,0.04947007883175071,-0.010343509021307415,-0.005359776100731793,0.0003329401196583477,0.04583202347099174,0.010355451874437423,-0.022600556467256838,0.006529413012811254,0.8054642305933073
MLI,-0.5789655160297472,0.30074718349414126,0.03683652522422786,0.011266839943403398,0.05742385438561094,-0.009396367511587681,-0.005050342304216308,0.00036486806165620766,0.0393556467922198,0.009755707399879767,-0.026780803813986065,0.006666848215430801,0.806234935992524
MMR,-0.5487298296191908,0.27374800321688336,0.03746877886306818,0.0110655804760868,0.05876918022510805,-0.008953139103695076,-0.0051977253144034445,0.0003517447655624524,0.04195382345983119,0.00891127067736011,-0.024610642831544766,0.0063812206399833996,0.8060799935690233
MNG,-0.5990735760315633,0.3130532870753884,0.04238691037351128,0.018282737378462414,0.07119568223891498,-0.012660614672589207,-0.0071073573611320495,0.0005212610966568618,0.03578324162589936,0.007407785110910249,-0.033444690407947036,0.005390436435617348,0.7931294144252393
MOZ,-0.5183928878618727,0.246033517460719,0.037607712638309865,0.012415306617866523,0.06195114817268412,-0.008550497190491516,-0.005517019620276727,0.00036366793474522374,0.03581586002948407,0.009261769653552628,-0.030382511599231735,0.007092855483214645,0.8095788908235827
MWI,-0.5402468058446953,0.284068935769513,0.033545906373457515,0.013283192381078904,0.06155070658953495,-0.010283647261977315,-0.004944128216151496,0.00033153988449457464,0.042442934853532746,0.011445957619666368,-0.022058311616812265,0.006218190964483271,0.8069332017075884
