Country Code,Country Name,Year,Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),Agriculture,Capital depreciation rate,Clientelism index,"Death rates, crude per 1000 people",Domestic credit to private sector (% of GDP),Economic Complexity Index,"GDP per capita (constant prices, PPP)",Government revenue,"Gross fixed capital formation, all, Constant prices, Percent of GDP",Human capital index,Industry,"Inflation, consumer prices (annual %)",Landlocked,Lending interest rate (%),"Life expectancy at birth, total (years)",Manufacturing,Mineral rents (% of GDP),Mobile cellular subscriptions (per 100 people),Natural gas rents (% of GDP),Oil rents (% of GDP),Forest rents (% of GDP),Coal rents (% of GDP),Extractive_NR_Rents,Political corruption index,Political stability — estimate,"Primary net lending, General government, Percent of GDP",Property rights,Real interest rate (%),Rule of law index,Services,Share of consumption in GDP,Share of government spending in GDP,Share of investment in GDP,Total natural resources rents (% of GDP),Trade (% of GDP),Urban population (% of total population),"Use of IMF credit (DOD, current US$)",Total_Production,Total_Reserves,Total_Production_Value,Total_Reserves_Value,Hydrocarbons_Dominant,Subsoil_Metals_Dominant,Precious_Metals_Dominant,Population,Forest_Rents_pct,Coal_Rents_pct,Forest_Coal_pct,NR rents excl. forest (% of GDP),Total_Production_Value_Per_Capita
BOL,Bolivia,1997,67.330431,12.9020437810914,14.9182592343414,0.0527035258710384,0.555,10.179,58.2754233787146,-0.797,5357.025,24.999,15.042380913,2.38829016685486,26.4351094914312,4.708444360281931,1.0,50.05,60.745,14.5202255849151,1.26953717155461,1.4553763879999906,0.3855515257735469,1.6455708871686792,0.713165707702096,0.0,3.3006595844968345,0.716,-0.188,-1.00693073000631,0.669,41.9515996899942,0.464,49.2203470032769,0.674142897129059,0.278234630823135,0.125534042716026,4.013825292198931,50.4696628058748,4935367.0,248140560.0,219.33888076813983,0.0,1003115527.0577296,0.0,0.0,0.0,0.0,8167900.0,0.713165707702096,0.0,0.713165707702096,3.3006595844968345,122.81192559381599
BOL,Bolivia,1998,71.2,13.071648734362,12.6254313762121,0.0554867498576641,0.567,10.011,64.0518430826259,-0.547,5517.514000000001,24.873,20.151639452,2.42192125320435,26.1333943093732,7.67322895675083,1.0,39.4116666666667,61.227,13.992064260063,0.169697256119387,2.887342570999998,0.2640543700066029,1.2403329767152105,0.561863461147413,0.0,1.674084602841198,0.716,-0.2409999999999999,-2.99693496082084,0.669,30.229051182494,0.464,51.7171694015191,0.699279725551605,0.257866114377975,0.162177905440331,2.2359480639886105,52.2811629581228,5063677.999999998,264183043.0,215.68554503153783,0.0,868587718.2748562,0.0,0.0,0.0,0.0,8313394.0,0.561863461147413,0.0,0.561863461147413,1.6740846028411975,104.48051881997367
BOL,Bolivia,1999,70.929888,10.9159671187422,13.2579915795139,0.0570687465369701,0.567,9.88,64.4499926981327,-0.58,5435.123,25.528,18.179106515,2.45602583885193,25.1438963960235,2.159516268355979,1.0,35.3691666666667,61.655,13.594130404228,0.211120591313388,4.980938617,0.320800790853637,1.8314809930192393,0.4115739000363219,0.0,2.3634023751862685,0.716,-0.239,-1.8431334880386,0.669,32.1815221664532,0.464,54.2201173752696,0.729462862014771,0.245752811431885,0.136592507362366,2.77497627522259,44.1682564870165,5193103.999999998,283651143.6,201.7746862271613,0.0,842338403.5025945,0.0,0.0,0.0,0.0,8459806.0,0.411573900036322,0.0,0.411573900036322,2.363402375186268,99.5694704467921
BOL,Bolivia,2000,70.0,11.3190374089697,12.9658118842238,0.057603545486927,0.567,9.745,58.7218026947676,-0.572,5407.991,25.586,16.339116761,2.4906108379364,25.7390221812353,4.608229988725979,1.0,34.5958333333333,62.057,13.2411058398516,0.2781478456679709,6.769669999999998,0.772562074092428,3.2007191589754695,0.361398804732755,0.0,4.251429078735866,0.716,-0.237,-1.45224967445547,0.669,27.9483957185948,0.464,52.1618196573823,0.750764012336731,0.231701254844666,0.133194074034691,4.61282788346862,45.5977750218555,5323763.0,254673303.1,205.3498031995585,0.0,1262832337.516677,0.0,1.0,0.0,0.0,8606326.0,0.361398804732755,0.0,0.361398804732755,4.251429078735866,146.73303538776906
BOL,Bolivia,2001,69.3,11.5559370679501,13.2556536661742,0.0568643026053906,0.567,9.563,53.5566000288069,-0.831,5396.623000000001,25.135,13.25419888,2.51987934112549,25.4206764753126,1.5896537787956788,1.0,20.0570612222166,62.538,13.3447719203847,0.121156626329288,8.91055,1.10433905071583,2.70191454521148,0.4062766431773099,0.0,3.927410222256599,0.716,-0.262,-4.21784679465597,0.669,17.8530979126692,0.464,52.653776599304,0.744637608528137,0.21409960091114,0.111089579761028,4.33368686543391,45.2278224315522,5456235.0,240714064.20000005,199.47324579769628,0.0,1354897735.1887758,0.0,1.0,0.0,0.0,8752736.0,0.40627664317731,0.0,0.40627664317731,3.9274102222565994,154.797052623177
BOL,Bolivia,2002,64.0,12.6239440525093,12.955118631021,0.0554061084985733,0.51,9.356,51.001676850074,-0.912,5429.626,24.505,15.088803894,2.54949164390564,25.4735692447779,0.9282588516110692,1.0,20.6324567427484,63.068,13.0354217893501,0.2246899170536309,11.497700000000002,1.10088698094808,3.201434367221182,0.4178399818775549,0.0,4.527011265222885,0.723,-0.287,-6.19210172152855,0.669,17.3230579080153,0.457,52.2995520552759,0.736911058425903,0.198000252246857,0.131720945239067,4.944851247100441,49.3502603725957,5591093.0,231620062.9,201.1208445786247,0.0,1377854577.3037908,0.0,1.0,0.0,0.0,8900355.0,0.417839981877555,0.0,0.417839981877555,4.527011265222886,154.80894608179008
BOL,Bolivia,2003,72.3,15.0477204810069,13.4272369562791,0.0546076819300652,0.481,9.148,47.880519858362,-0.717,5476.696,24.114,11.573459559,2.57307386398315,25.5964904919612,3.3372749967153403,1.0,17.6632890518186,63.455,12.7844476107651,0.2347379897011499,14.129800000000005,1.02122652481984,3.5784097614480395,0.4819037515736439,0.0,4.8343742759690365,0.717,-0.835,-5.05949028619388,0.669,10.6586077125964,0.469,51.2880547650981,0.731225669384003,0.189100325107574,0.1134961917996409,5.31627802754268,51.967836443987,5728357.0,318333409.20000005,209.1707428908147,0.0,2149924032.7808046,0.0,1.0,0.0,0.0,9050700.0,0.481903751573644,0.0,0.481903751573644,4.834374275969036,237.5422931685731
BOL,Bolivia,2004,75.9,17.828431371046,13.3223836388477,0.0540705099701881,0.481,8.964,42.6507012903778,-1.047,5604.611000000001,26.801,10.387727529,2.59339308738709,26.8396494762825,4.43738080101725,1.0,14.4698833333333,63.819,12.5074546204993,0.56359830222864,19.5647,1.31796776619707,5.08868092656529,0.459734192518509,0.0,6.970246994990991,0.668,-0.681,-2.6162159937237695,0.669,6.02233191168458,0.456,49.2849694922866,0.724796175956726,0.175741627812386,0.0983544141054153,7.429981187509501,57.4642660901316,5868328.0,348459724.70000005,223.01983734674877,0.0,3135198223.3995104,0.0,1.0,0.0,0.0,9204287.0,0.459734192518509,0.0,0.459734192518509,6.970246994990992,340.62369235113056
BOL,Bolivia,2005,68.3,20.6982800939157,11.7927215329112,0.0537619031965733,0.366,8.79,39.7951588996808,-0.915,5750.965,30.938,10.570952882,2.61387252807617,26.2692194219914,5.39323106890663,1.0,16.6150416666667,64.182,11.6269448883483,0.913753281667752,25.867599999999996,2.83615706373774,7.330803000301451,0.464507522340972,0.0,11.08071334570693,0.671,-0.971,0.756049880974343,0.669,10.0756689351212,0.455,46.8201969433938,0.724742531776428,0.167785853147507,0.121265821158886,11.5452208680479,67.6419413613743,6010850.000000002,281990683.20000005,239.61090678433715,0.0,4562599939.796744,0.0,1.0,0.0,0.0,9360754.0,0.464507522340972,0.0,0.464507522340972,11.08071334570693,487.41799429797476
BOL,Bolivia,2006,76.2,27.5374538756841,10.9375480546288,0.0538775213062763,0.301,8.648,35.1778876648113,-0.893,5924.145,34.304,10.765977057,2.63451361656189,27.652247464959,4.2823960480256105,1.0,11.8912833333333,64.529,11.3316028641399,3.57670624063231,30.2062,3.55806070652127,6.90511113358437,0.5935784439693939,0.0,14.039878080737909,0.698,-0.803,6.9965214610417,0.669,-1.5593338295826698,0.403,43.1317849879713,0.732664048671722,0.156229868531227,0.111868895590305,14.6334565247073,74.537848431547,6157023.0,54704497.20000005,253.98873653961135,0.0,5311081149.989992,0.0,1.0,0.0,0.0,9521689.0,0.593578443969394,0.0,0.593578443969394,14.039878080737907,557.7877149726264
