Variable,Coef,SE,p,CI_lo,CI_hi,Spec,N,R2,R2_adj
log_Prod,0.013184945369175196,0.03152179174514119,0.6757421713337974,-0.04859663117947352,0.07496652191782391,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
Trade (% of GDP),0.0007524297473842557,0.0026595302838260336,0.7772394774150646,-0.004460153824708358,0.005965013319476869,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
NR rents excl. forest (% of GDP),-0.006192766122464913,0.0054840435441133005,0.25879931170791737,-0.016941293958576378,0.004555761713646551,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
log_HCI_x_Prod,0.2868361642849475,0.10555497924854225,0.00657950315363246,0.07995220656893193,0.4937201220009631,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
log_GFCF_x_Prod,0.0012444477783941001,0.019157937999840606,0.9482080042139905,-0.0363044207193448,0.03879331627613301,"Adj. rent, same sample (54 ctry)",1324.0,0.3661114897626917,0.36176978763777856
const,-3.5901236735765822,0.6447218670254945,2.5696459621262163e-08,-4.853755312991973,-2.326492034161191,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
log_HCI,2.0121017788156483,0.5756092806698321,0.0004729910898717936,0.8839283195357699,3.1402752380955268,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
log_GFCF,0.16748717473102998,0.0675595609023281,0.013171291154165227,0.03507286855112654,0.2999014809109334,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
Political stability — estimate,0.016730670905434737,0.09074774883307195,0.8537274519121393,-0.161131648485473,0.19459299029634247,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
Rule of law index,0.5166899031846292,0.33370718089036217,0.12154209798892433,-0.1373641527428736,1.1707439591121318,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
log_Prod,0.028633647047193553,0.0630736703859813,0.6498493593387125,-0.09498847528208036,0.15225576937646745,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
Trade (% of GDP),0.00014196885239694884,0.0027177682685515284,0.9583396194193873,-0.005184759072289828,0.005468696777083727,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
NR rents excl. forest (% of GDP),-0.010528493851682886,0.00710362738095262,0.13830590989759162,-0.02445134767794261,0.003394359974576839,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
log_HCI_x_Prod,0.02917148782077955,0.24056771979929692,0.9034842912300866,-0.4423325788287657,0.5006755544703247,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
log_GFCF_x_Prod,-0.005662826882098782,0.019141488442397967,0.7673519172067216,-0.04317945483968849,0.031853801075490934,"Adj. rent + re-selected (39 ctry, ≥3% excl.forest)",975.0,0.41891917565017467,0.4134997689982074
const,-3.6871513723100073,0.5505578851642872,2.1256931477105294e-11,-4.766224998636549,-2.608077745983466,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
log_HCI,2.393788721738555,0.4873046719090475,9.001231576653709e-07,1.4386891152987145,3.348888328178395,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
log_GFCF,0.21434669909528356,0.05470844970604995,8.929352181424828e-05,0.10712010802140476,0.32157329016916236,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
Political stability — estimate,0.05488211035179316,0.07448107657183131,0.46120761962386325,-0.09109811725876621,0.20086233796235253,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
Rule of law index,0.44113522640036473,0.2633273575594125,0.09388811764448375,-0.07497691056018496,0.9572473633609144,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
log_Prod,-0.014706196866392584,0.050951933984719956,0.7728654342601232,-0.1145701524191061,0.08515775868632093,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
