,Country,Country Code,Year,PC1,PC2,PC3,Cluster,hover_text
23,"Congo, Dem. Rep.",COD,1995,1.2035566335982526,0.5019608759990384,-2.620921958853583,1,"<b>Congo, Dem. Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $114.0M<br>  Cobalt: $104.2M<br>  Tin: $39.2M"
24,"Congo, Rep.",COG,1995,-1.9504408979496928,-1.0913006625076778,0.44028951870567606,0,"<b>Congo, Rep.</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $1.3B"
25,Costa Rica,CRI,1995,-1.919141159825069,-0.2264485789048079,-1.0804084180627345,0,<b>Costa Rica</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $6.2M
26,Cote d'Ivoire,CIV,1995,-1.8907204369275683,-0.18239195492114949,-1.1270226900021676,0,<b>Cote d'Ivoire</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $25.8M
27,Croatia,HRV,1995,-1.8764870505482916,-0.4552954114265517,-0.477961440483724,0,<b>Croatia</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $3.4M
28,Cyprus,CYP,1995,-2.229767716870468,-0.7079689636058977,-0.5709340160939717,0,<b>Cyprus</b><br>Cluster: 0<br><br>Top Resources:<br>  (No significant production)
29,Czechia,CZE,1995,-1.7137545431629382,-0.3389057965513036,-0.4351352634821998,0,<b>Czechia</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $3.5B
30,Denmark,DNK,1995,-1.6211851043134855,-1.3719667860166338,1.5486721928386749,3,<b>Denmark</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $1.3B<br>  Natural Gas: $375.8M
31,Dominican Republic,DOM,1995,-1.37594590617458,0.5615147108571692,-1.1855676812368405,0,<b>Dominican Republic</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $43.7M<br>  Silver: $3.7M
32,Ecuador,ECU,1995,-1.5742896529617114,-0.5388330452570061,-0.12152908852683897,0,<b>Ecuador</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $2.9B<br>  Gold: $98.6M
33,"Egypt, Arab Rep.",EGY,1995,-1.123846119702146,-1.6086219081130768,2.0817835042172175,3,"<b>Egypt, Arab Rep.</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $6.7B<br>  Natural Gas: $820.7M<br>  Aluminium: $363.6M"
34,Equatorial Guinea,GNQ,1995,-1.9936435625904687,-1.0320118663304312,0.2838865230334265,0,<b>Equatorial Guinea</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $50.6M
35,Eswatini,SWZ,1995,-1.8571176022805542,-0.44144198619240715,-0.4728639990857885,0,<b>Eswatini</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $7.9M
36,Ethiopia,ETH,1995,-1.900547274083918,-0.1976251096550139,-1.110905194991129,0,<b>Ethiopia</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $15.7M
37,Finland,FIN,1995,-0.8728635191907725,1.1259226704965484,-1.0009735286023582,1,<b>Finland</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $29.5M<br>  Zinc: $21.6M<br>  Gold: $14.0M
38,France,FRA,1995,-0.0011695947400126951,0.21826800590843073,-0.619677376604278,1,<b>France</b><br>Cluster: 1<br><br>Top Resources:<br>  Aluminium: $736.3M<br>  Coal: $385.5M<br>  Gold: $78.9M
39,Gabon,GAB,1995,-1.0935761560462725,-2.1497085757361494,-0.4529993892189711,0,<b>Gabon</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $2.6B<br>  Manganese: $519.0M
40,Georgia,GEO,1995,-0.6276466762549784,1.2433380769748197,-0.9133118591461629,1,<b>Georgia</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $18.9M<br>  Gold: $6.7M<br>  Zinc: $2.6M
41,Germany,DEU,1995,-0.1709639527167526,-0.7118005981354578,1.7389258999715553,3,<b>Germany</b><br>Cluster: 3<br><br>Top Resources:<br>  Coal: $11.3B<br>  Aluminium: $1.2B<br>  Natural Gas: $1.1B
42,Ghana,GHA,1995,0.34700942284913666,-1.0936979670839224,-1.684304220062767,0,<b>Ghana</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $682.7M<br>  Aluminium: $273.5M<br>  Manganese: $116.6M
43,Greece,GRC,1995,1.7807604727340811,0.510272691255479,0.04376101515787617,1,<b>Greece</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $2.6B<br>  Aluminium: $291.7M<br>  Magnesium compounds: $85.4M
44,Guatemala,GTM,1999,-1.8824138046660441,-0.169515358662977,-1.1406468197097777,0,<b>Guatemala</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $39.2M
45,Guinea,GIN,1995,-1.2269405886337483,-0.6750775292606814,-1.131152481592319,0,<b>Guinea</b><br>Cluster: 0<br><br>Top Resources:<br>  Bauxite: $445.1M<br>  Gold: $104.6M
46,Honduras,HND,1995,-0.3590688114317237,1.822833750728602,-0.5382607891427924,1,<b>Honduras</b><br>Cluster: 1<br><br>Top Resources:<br>  Zinc: $35.8M<br>  Silver: $5.3M<br>  Lead: $2.5M
47,Hungary,HUN,1995,-0.7839037794188969,-1.0058815628187854,-0.032160049190078976,0,<b>Hungary</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $662.1M<br>  Aluminium: $70.5M<br>  Bauxite: $25.5M
48,India,IND,1995,5.61426156963001,-1.283994150364413,1.1297190550533756,5,<b>India</b><br>Cluster: 5<br><br>Top Resources:<br>  Coal: $13.2B<br>  Oil: $5.6B<br>  Natural Gas: $1.2B
49,Indonesia,IDN,1995,3.5959273359876227,-0.9728593283139922,0.15055921774249523,5,<b>Indonesia</b><br>Cluster: 5<br><br>Top Resources:<br>  Oil: $11.4B<br>  Natural Gas: $4.2B<br>  Copper: $2.0B
50,"Iran, Islamic Rep.",IRN,1995,2.3931508219598876,1.6920155051291241,2.234304336821279,4,"<b>Iran, Islamic Rep.</b><br>Cluster: 4<br><br>Top Resources:<br>  Oil: $27.1B<br>  Natural Gas: $2.2B<br>  Copper: $333.2M"
51,Iraq,IRQ,1995,-1.617295900867352,-1.3825395336226955,1.565308561173196,3,<b>Iraq</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $3.8B<br>  Natural Gas: $205.4M
52,Ireland,IRL,1995,-0.5037753476538459,1.5520414335610628,0.012248073042959476,1,<b>Ireland</b><br>Cluster: 1<br><br>Top Resources:<br>  Zinc: $242.2M<br>  Lead: $46.0M<br>  Silver: $2.4M
53,Israel,ISR,1995,-1.9916038366297117,-0.9108147799835917,0.23071988080839018,0,<b>Israel</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Gas: $1.6M
54,Italy,ITA,1995,1.2678439839542899,0.49404289166958465,2.665219361148767,4,<b>Italy</b><br>Cluster: 4<br><br>Top Resources:<br>  Natural Gas: $1.3B<br>  Oil: $786.3M<br>  Aluminium: $359.2M
55,Jamaica,JAM,1995,-1.6094566251647673,-1.2305506178340624,-0.5304879560483354,0,<b>Jamaica</b><br>Cluster: 0<br><br>Top Resources:<br>  Bauxite: $272.5M
56,Japan,JPN,1995,1.9196634211982315,2.986251788831892,0.34177295854837697,4,<b>Japan</b><br>Cluster: 4<br><br>Top Resources:<br>  Coal: $286.8M<br>  Zinc: $125.8M<br>  Gold: $122.2M
57,Kazakhstan,KAZ,1995,2.9938909140599654,2.3426516661242602,2.1566187844869007,4,<b>Kazakhstan</b><br>Cluster: 4<br><br>Top Resources:<br>  Coal: $3.8B<br>  Oil: $3.3B<br>  Copper: $758.3M
58,Kenya,KEN,1995,-1.6509835972577853,0.09566964966167948,-0.8773628193556028,0,<b>Kenya</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $2.0M<br>  Lead: $4.0K
59,"Korea, Rep.",KOR,1995,0.37250091854165374,1.5733583254684482,0.17377679415455272,1,"<b>Korea, Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Coal: $262.0M<br>  Gold: $16.3M<br>  Cadmium: $10.9M"
60,Kuwait,KWT,1995,-1.5809037950018507,-1.4231710627274947,1.692509105637588,3,<b>Kuwait</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $15.4B<br>  Natural Gas: $601.3M
61,Kyrgyz Republic,KGZ,1995,-1.5000171257658685,0.0926693719456438,-1.0142223266285253,0,<b>Kyrgyz Republic</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $21.2M<br>  Gold: $19.8M
62,Lao PDR,LAO,1995,-1.8941130073400645,-0.467901855927185,-0.48260004869737494,0,<b>Lao PDR</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $1.6M
63,Liberia,LBR,1995,-1.9083191365765706,-0.20967272803285733,-1.0981581683579582,0,<b>Liberia</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $10.6M
64,Libya,LBY,1995,-1.5924647837441386,-1.4106067000440314,1.6522679222010255,3,<b>Libya</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $10.4B<br>  Natural Gas: $410.9M
65,Madagascar,MDG,1995,-1.5671987236428402,-1.3570274431625233,-0.40628478280349056,0,<b>Madagascar</b><br>Cluster: 0<br><br>Top Resources:<br>  Natural Graphite: $8.5M
66,Malawi,MWI,1995,-1.9143251844343645,-0.48235801804004974,-0.48791927033129734,0,<b>Malawi</b><br>Cluster: 0<br><br>Top Resources:<br>  Coal: $687.2K
67,Malaysia,MYS,1995,0.621636205875254,0.3276616859439938,1.0847544747916948,3,<b>Malaysia</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $5.1B<br>  Natural Gas: $1.9B<br>  Copper: $67.6M
68,Mali,MLI,1995,-1.8630769625511157,-0.13954018930640516,-1.1723621571431697,0,<b>Mali</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $103.7M
69,Mauritania,MRT,1995,-1.9003301476617058,-0.19728852929515575,-1.1112613150703645,0,<b>Mauritania</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $15.9M
70,Mexico,MEX,1995,3.6550489176968655,2.1083689191432606,2.8311551568937543,4,<b>Mexico</b><br>Cluster: 4<br><br>Top Resources:<br>  Oil: $22.1B<br>  Natural Gas: $2.0B<br>  Copper: $1.1B
71,Mongolia,MNG,1995,-0.35454373512745563,1.622389660844166,-1.2258905421682613,1,<b>Mongolia</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $397.4M<br>  Coal: $229.9M<br>  Gold: $59.9M
72,Morocco,MAR,1995,1.653998213124952,2.774351154535814,-1.4692571515076907,1,<b>Morocco</b><br>Cluster: 1<br><br>Top Resources:<br>  Zinc: $105.4M<br>  Lead: $68.7M<br>  Copper: $44.3M
73,Mozambique,MOZ,1995,-0.9404126612728786,-1.1644541076828725,-0.8849853701325028,0,<b>Mozambique</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $3.1M<br>  Natural Graphite: $1.6M<br>  Bauxite: $267.6K
74,Myanmar,MMR,1995,1.4633654249246524,1.6086409212635886,-0.31312702047487523,1,<b>Myanmar</b><br>Cluster: 1<br><br>Top Resources:<br>  Tin: $152.9M<br>  Natural Gas: $109.9M<br>  Copper: $17.2M
75,Namibia,NAM,1995,0.3209965652797163,2.7157652671464274,-0.7269010635498162,1,<b>Namibia</b><br>Cluster: 1<br><br>Top Resources:<br>  Copper: $73.4M<br>  Zinc: $39.9M<br>  Gold: $27.9M
