Country,Year,Resource,Metric,Kept_Source,Kept_Value,Dropped_Source,Dropped_Value,Pct_Discrepancy
Angola,2022,Oil,Production,EI_CSV,1190.671621,OWID,57800000.0,4854303.1
Angola,2023,Oil,Production,EI_CSV,1150.452625,OWID,55800000.0,4850164.9
Argentina,1970,Oil,Production,EI_CSV,399.4646575,OWID,20797000.0,5206117.8
Argentina,1971,Oil,Production,EI_CSV,431.5380822,OWID,22409000.0,5192721.0
Argentina,1972,Oil,Production,EI_CSV,444.115847,OWID,22067000.0,4968648.6
Argentina,1973,Oil,Production,EI_CSV,433.6356164,OWID,21364000.0,4926617.1
Argentina,1974,Oil,Production,EI_CSV,423.3873973,OWID,21246000.0,5017999.3
Argentina,1975,Oil,Production,EI_CSV,406.0909589,OWID,20119000.0,4954208.8
Argentina,1976,Oil,Production,EI_CSV,408.0218579,OWID,20437000.0,5008700.3
Argentina,1977,Oil,Production,EI_CSV,441.7150685,OWID,22075000.0,4997465.5
Argentina,1978,Oil,Production,EI_CSV,466.2049315,OWID,23947000.0,5136482.3
Argentina,1979,Oil,Production,EI_CSV,487.2827397,OWID,25016000.0,5133675.1
Argentina,1980,Oil,Production,EI_CSV,505.7103825,OWID,26059000.0,5152849.4
Argentina,1981,Oil,Production,EI_CSV,518.9254795,OWID,26296100.0,5067313.5
Argentina,1982,Oil,Production,EI_CSV,517.0821918,OWID,25951600.0,5018753.9
Argentina,1983,Oil,Production,EI_CSV,520.1726027,OWID,25977400.0,4993896.2
Argentina,1984,Oil,Production,EI_CSV,509.0065574,OWID,25318400.0,4973981.3
Argentina,1985,Oil,Production,EI_CSV,490.7945205,OWID,24342500.0,4959714.9
Argentina,1986,Oil,Production,EI_CSV,465.3676712,OWID,22982800.0,4938532.7
Argentina,1987,Oil,Production,EI_CSV,459.4049315,OWID,22675290.0,4935695.9
Argentina,1988,Oil,Production,EI_CSV,481.2021858,OWID,23829749.0,4952028.2
Argentina,1989,Oil,Production,EI_CSV,492.2865753,OWID,24368512.0,4949966.3
Argentina,1990,Oil,Production,EI_CSV,517.4109589,OWID,25545968.0,4937168.4
Argentina,1991,Oil,Production,EI_CSV,525.6115068,OWID,26108344.0,4967132.2
Argentina,1992,Oil,Production,EI_CSV,586.8710383,OWID,29415684.0,5012191.0
