FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Caldera,port,-27.07,-70.82,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.41,kMT,8.17
Coloso,port,-23.76,-70.45,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,2.14,kMT,6.12
Mejillones,port,-23.1,-70.45,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,1.22,kMT,6.12
Patache,port,-20.8,-70.22,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.92,kMT,6.12
Barquito,port,-27.07,-70.84,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.49,kMT,6.12
Coquimbo,port,-29.96,-71.35,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.73,kMT,6.12
Angamos,port,-23.1,-70.42,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.31,kMT,6.12
Caldera,port,-27.07,-70.82,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.31,kMT,6.12
Coloso,port,-23.76,-70.45,China,country,31.23,121.47,port_to_country,concentrate,Copper,,872.05,kMT,2491.58
Mejillones,port,-23.1,-70.45,China,country,31.23,121.47,port_to_country,concentrate,Copper,,498.32,kMT,2491.58
Patache,port,-20.8,-70.22,China,country,31.23,121.47,port_to_country,concentrate,Copper,,373.74,kMT,2491.58
Barquito,port,-27.07,-70.84,China,country,31.23,121.47,port_to_country,concentrate,Copper,,199.33,kMT,2491.58
Coquimbo,port,-29.96,-71.35,China,country,31.23,121.47,port_to_country,concentrate,Copper,,298.99,kMT,2491.58
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,concentrate,Copper,,124.58,kMT,2491.58
Caldera,port,-27.07,-70.82,China,country,31.23,121.47,port_to_country,concentrate,Copper,,124.58,kMT,2491.58
Coloso,port,-23.76,-70.45,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,64.48,kMT,184.23
Mejillones,port,-23.1,-70.45,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,36.85,kMT,184.23
Patache,port,-20.8,-70.22,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,27.63,kMT,184.23
Barquito,port,-27.07,-70.84,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,14.74,kMT,184.23
Coquimbo,port,-29.96,-71.35,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,22.11,kMT,184.23
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,9.21,kMT,184.23
Caldera,port,-27.07,-70.82,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,9.21,kMT,184.23
Coloso,port,-23.76,-70.45,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,12.17,kMT,34.78
Mejillones,port,-23.1,-70.45,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,6.96,kMT,34.78
Patache,port,-20.8,-70.22,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,5.22,kMT,34.78
Barquito,port,-27.07,-70.84,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,2.78,kMT,34.78
Coquimbo,port,-29.96,-71.35,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,4.17,kMT,34.78
Angamos,port,-23.1,-70.42,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,1.74,kMT,34.78
Caldera,port,-27.07,-70.82,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,1.74,kMT,34.78
Coloso,port,-23.76,-70.45,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.01,kMT,0.02
Mejillones,port,-23.1,-70.45,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Patache,port,-20.8,-70.22,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Barquito,port,-27.07,-70.84,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Coquimbo,port,-29.96,-71.35,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Angamos,port,-23.1,-70.42,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Caldera,port,-27.07,-70.82,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Coloso,port,-23.76,-70.45,India,country,19.08,72.88,port_to_country,concentrate,Copper,,59.88,kMT,171.08
Mejillones,port,-23.1,-70.45,India,country,19.08,72.88,port_to_country,concentrate,Copper,,34.22,kMT,171.08
Patache,port,-20.8,-70.22,India,country,19.08,72.88,port_to_country,concentrate,Copper,,25.66,kMT,171.08
Barquito,port,-27.07,-70.84,India,country,19.08,72.88,port_to_country,concentrate,Copper,,13.69,kMT,171.08
Coquimbo,port,-29.96,-71.35,India,country,19.08,72.88,port_to_country,concentrate,Copper,,20.53,kMT,171.08
Angamos,port,-23.1,-70.42,India,country,19.08,72.88,port_to_country,concentrate,Copper,,8.55,kMT,171.08
Caldera,port,-27.07,-70.82,India,country,19.08,72.88,port_to_country,concentrate,Copper,,8.55,kMT,171.08
Coloso,port,-23.76,-70.45,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.02,kMT,0.07
Mejillones,port,-23.1,-70.45,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07
Patache,port,-20.8,-70.22,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07
Barquito,port,-27.07,-70.84,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07
Coquimbo,port,-29.96,-71.35,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07
Angamos,port,-23.1,-70.42,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07
Caldera,port,-27.07,-70.82,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07
Coloso,port,-23.76,-70.45,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,217.38,kMT,621.09
Mejillones,port,-23.1,-70.45,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,124.22,kMT,621.09
Patache,port,-20.8,-70.22,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,93.16,kMT,621.09
Barquito,port,-27.07,-70.84,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,49.69,kMT,621.09
Coquimbo,port,-29.96,-71.35,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,74.53,kMT,621.09
Angamos,port,-23.1,-70.42,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,31.05,kMT,621.09
Caldera,port,-27.07,-70.82,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,31.05,kMT,621.09
Coloso,port,-23.76,-70.45,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,1.11,kMT,3.18
Mejillones,port,-23.1,-70.45,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.64,kMT,3.18
Patache,port,-20.8,-70.22,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.48,kMT,3.18
Barquito,port,-27.07,-70.84,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.25,kMT,3.18
Coquimbo,port,-29.96,-71.35,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.38,kMT,3.18
Angamos,port,-23.1,-70.42,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.16,kMT,3.18
Caldera,port,-27.07,-70.82,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.16,kMT,3.18
Coloso,port,-23.76,-70.45,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.24,kMT,0.69
Mejillones,port,-23.1,-70.45,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.14,kMT,0.69
Patache,port,-20.8,-70.22,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.1,kMT,0.69
Barquito,port,-27.07,-70.84,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.06,kMT,0.69
Coquimbo,port,-29.96,-71.35,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.08,kMT,0.69
