Year,Country Code,Value,Variable
1986,AGO,3054.82,"Gross domestic product per capita, constant prices"
1987,AGO,3100.31,"Gross domestic product per capita, constant prices"
1988,AGO,3203.555,"Gross domestic product per capita, constant prices"
1989,AGO,3119.337,"Gross domestic product per capita, constant prices"
1990,AGO,2933.412,"Gross domestic product per capita, constant prices"
1991,AGO,3180.311,"Gross domestic product per capita, constant prices"
1992,AGO,3429.696,"Gross domestic product per capita, constant prices"
1993,AGO,3687.462,"Gross domestic product per capita, constant prices"
1994,AGO,3946.765,"Gross domestic product per capita, constant prices"
1995,AGO,4214.831,"Gross domestic product per capita, constant prices"
1996,AGO,4533.696,"Gross domestic product per capita, constant prices"
1997,AGO,4703.96,"Gross domestic product per capita, constant prices"
1998,AGO,4765.766,"Gross domestic product per capita, constant prices"
1999,AGO,4715.12,"Gross domestic product per capita, constant prices"
2000,AGO,4704.042,"Gross domestic product per capita, constant prices"
2001,AGO,4743.472,"Gross domestic product per capita, constant prices"
2002,AGO,5214.845,"Gross domestic product per capita, constant prices"
2003,AGO,5190.531,"Gross domestic product per capita, constant prices"
2004,AGO,5560.617,"Gross domestic product per capita, constant prices"
2005,AGO,6172.758,"Gross domestic product per capita, constant prices"
2006,AGO,6642.628,"Gross domestic product per capita, constant prices"
2007,AGO,7302.588,"Gross domestic product per capita, constant prices"
2008,AGO,7825.396,"Gross domestic product per capita, constant prices"
2009,AGO,7606.389,"Gross domestic product per capita, constant prices"
2010,AGO,7683.606,"Gross domestic product per capita, constant prices"
2011,AGO,7657.088,"Gross domestic product per capita, constant prices"
2012,AGO,8004.574,"Gross domestic product per capita, constant prices"
2013,AGO,8093.129,"Gross domestic product per capita, constant prices"
2014,AGO,8176.552,"Gross domestic product per capita, constant prices"
2015,AGO,7960.448,"Gross domestic product per capita, constant prices"
2016,AGO,7481.876,"Gross domestic product per capita, constant prices"
2017,AGO,7210.026,"Gross domestic product per capita, constant prices"
2018,AGO,6872.841,"Gross domestic product per capita, constant prices"
2019,AGO,6596.756,"Gross domestic product per capita, constant prices"
2020,AGO,6024.653,"Gross domestic product per capita, constant prices"
2021,AGO,5906.891,"Gross domestic product per capita, constant prices"
2022,AGO,5880.912,"Gross domestic product per capita, constant prices"
2023,AGO,5736.462,"Gross domestic product per capita, constant prices"
2024,AGO,5711.848,"Gross domestic product per capita, constant prices"
2025,AGO,5718.959,"Gross domestic product per capita, constant prices"
2026,AGO,5740.869,"Gross domestic product per capita, constant prices"
2027,AGO,5768.622,"Gross domestic product per capita, constant prices"
2028,AGO,5800.329,"Gross domestic product per capita, constant prices"
2029,AGO,5835.771,"Gross domestic product per capita, constant prices"
1980,ATG,8035.73,"Gross domestic product per capita, constant prices"
1981,ATG,8408.199,"Gross domestic product per capita, constant prices"
1982,ATG,8498.521,"Gross domestic product per capita, constant prices"
1983,ATG,9085.13,"Gross domestic product per capita, constant prices"
1984,ATG,10172.575,"Gross domestic product per capita, constant prices"
1985,ATG,11136.582,"Gross domestic product per capita, constant prices"
1986,ATG,12635.412,"Gross domestic product per capita, constant prices"
1987,ATG,13710.568,"Gross domestic product per capita, constant prices"
1988,ATG,14643.582,"Gross domestic product per capita, constant prices"
1989,ATG,15554.714,"Gross domestic product per capita, constant prices"
1990,ATG,16038.962,"Gross domestic product per capita, constant prices"
1991,ATG,16255.198,"Gross domestic product per capita, constant prices"
1992,ATG,16178.585,"Gross domestic product per capita, constant prices"
1993,ATG,16656.261,"Gross domestic product per capita, constant prices"
1994,ATG,17319.18,"Gross domestic product per capita, constant prices"
1995,ATG,16128.15,"Gross domestic product per capita, constant prices"
1996,ATG,16729.433,"Gross domestic product per capita, constant prices"
1997,ATG,17159.331,"Gross domestic product per capita, constant prices"
1998,ATG,17493.019,"Gross domestic product per capita, constant prices"
1999,ATG,17703.964,"Gross domestic product per capita, constant prices"
2000,ATG,18413.006,"Gross domestic product per capita, constant prices"
2001,ATG,17280.92,"Gross domestic product per capita, constant prices"
2002,ATG,17283.433,"Gross domestic product per capita, constant prices"
2003,ATG,18158.932,"Gross domestic product per capita, constant prices"
2004,ATG,19016.032,"Gross domestic product per capita, constant prices"
2005,ATG,20042.005,"Gross domestic product per capita, constant prices"
