Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
Rule of law index_lag1,0.063683297928516,0.05272950923882322,1.2077354568213545,-0.03966464110204955,0.16703123695908156,0.22714903494648198,Adj. ≥3%,720,0.8477
log_Production_Value_lag1,0.003562679561286461,0.006154703504504928,0.5788547829605052,-0.008500317643065653,0.015625676765638575,0.5626871626060963,Adj. ≥3%,720,0.8477
Trade (% of GDP)_lag1,0.0002840298467586542,0.00036864015389973507,0.7704799484103576,-0.00043849157814012936,0.0010065512716574377,0.4410152449343594,Adj. ≥3%,720,0.8477
ECI_lag1,0.8866560719644417,0.03463500316431434,25.599999738934475,0.8187727131579549,0.9545394307709286,1.5255519499517247e-144,Adj. ≥3%,720,0.8477
log_HCI_x_log_Production_lag1,-0.03234079075609142,0.04014027963640932,-0.8056942066431605,-0.11101429317282023,0.04633271166063739,0.4204191907733814,Adj. ≥3%,720,0.8477
log_GFCF_x_log_Production_lag1,-0.007576206862539764,0.007706593940688129,-0.9830811018263247,-0.022680853429763108,0.0075284397046835785,0.32556752455152116,Adj. ≥3%,720,0.8477
const,-0.4004406727646951,0.17876872151352344,-2.2399929326249763,-0.7508209284934717,-0.0500604170359184,0.025091381693266246,Adj. ≥2%,934,0.8713
log_HCI_lag1,0.24253445621858832,0.10706351915056034,2.2653323759843826,0.03269381462537571,0.45237509781180096,0.023492290699032,Adj. ≥2%,934,0.8713
log_GFCF_lag1,0.014224343139291426,0.02096662576130348,0.6784278644179467,-0.02686948823019309,0.05531817450877594,0.4975004467330053,Adj. ≥2%,934,0.8713
Political stability — estimate_lag1,0.01154794257937605,0.012013156176394826,0.961274656702383,-0.011997410867012715,0.03509329602576482,0.33641408715989685,Adj. ≥2%,934,0.8713
Rule of law index_lag1,0.04931793676789324,0.03611605941566128,1.3655403597687938,-0.02146823895031158,0.12010411248609806,0.1720832769800379,Adj. ≥2%,934,0.8713
log_Production_Value_lag1,-0.0015199233482579896,0.0057706784060693305,-0.26338729024639546,-0.012830245190516882,0.009790398494000903,0.7922520857821743,Adj. ≥2%,934,0.8713
Trade (% of GDP)_lag1,0.00031381489366906463,0.00031515026287410637,0.9957627539546899,-0.0003038682712825144,0.0009314980586206437,0.3193654312448625,Adj. ≥2%,934,0.8713
ECI_lag1,0.8900346781626682,0.030326655400762608,29.34826364467105,0.8305955258056164,0.9494738305197201,2.514592350820399e-189,Adj. ≥2%,934,0.8713
log_HCI_x_log_Production_lag1,-0.0420311695095992,0.030028104269893437,-1.3997277061456121,-0.10088517240260375,0.01682283338340535,0.16159487374789927,Adj. ≥2%,934,0.8713
log_GFCF_x_log_Production_lag1,-0.002487568136777016,0.007835880661927228,-0.31745865514051874,-0.017845612021308264,0.012870475747754231,0.7508956065911723,Adj. ≥2%,934,0.8713
const,-0.3800799633421942,0.15869827140835283,-2.3949848978770243,-0.6911228597113284,-0.06903706697306006,0.016621049852808125,Adj. ≥1%,1126,0.8771
log_HCI_lag1,0.22997550526796215,0.09428384570260821,2.439182487245535,0.045182563366918504,0.4147684471690058,0.014720532459046469,Adj. ≥1%,1126,0.8771
log_GFCF_lag1,0.00900159912839376,0.01693225468844435,0.5316243639151628,-0.02418501023801664,0.04218820849480416,0.5949861868639876,Adj. ≥1%,1126,0.8771
Political stability — estimate_lag1,0.004565553042334556,0.010653218880832963,0.4285608972654076,-0.016314372283520152,0.025445478368189264,0.6682428072705253,Adj. ≥1%,1126,0.8771
Rule of law index_lag1,0.0354875183997696,0.028636480289412142,1.2392416261048156,-0.020638951611469343,0.09161398841100854,0.2152560292661918,Adj. ≥1%,1126,0.8771
log_Production_Value_lag1,0.0004815003441443512,0.003927191168884692,0.12260680049377264,-0.007215652907273402,0.008178653595562104,0.9024184690632446,Adj. ≥1%,1126,0.8771
Trade (% of GDP)_lag1,0.00029166214769920404,0.0002559920166887826,1.1393407945755851,-0.0002100729853405863,0.0007933972807389944,0.2545610395752399,Adj. ≥1%,1126,0.8771
ECI_lag1,0.8981724644665994,0.02640577354095575,34.01424552374959,0.8464180993424054,0.9499268295907933,1.3718305410232367e-253,Adj. ≥1%,1126,0.8771
