Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
const,-0.43621293865110344,0.19173943282228795,-2.2750298789889696,-0.812015321398925,-0.060410555903281926,0.02290413750001872,Adj. ≥3%,720,0.078
log_HCI,0.07371792217170699,0.09597244541339552,0.7681154924642327,-0.11438461434678453,0.2618204586901985,0.4424185735714017,Adj. ≥3%,720,0.078
log_GFCF,0.031134219844219258,0.03149479033406491,0.988551424346024,-0.03059443491118818,0.0928628745996267,0.32288266253484743,Adj. ≥3%,720,0.078
Political stability — estimate,0.021059183399562056,0.02094232705201798,1.005579912263514,-0.01998702337485207,0.06210539017397618,0.31461769085789715,Adj. ≥3%,720,0.078
Rule of law index,0.0634564468571625,0.06061237456307854,1.0469223044730604,-0.05534162430392314,0.18225451801824813,0.29513541381600106,Adj. ≥3%,720,0.078
log_Production_Value,-0.01892372882919529,0.009387014770001593,-2.0159474862733253,-0.03732193970074395,-0.0005255179576466283,0.04380546732717473,Adj. ≥3%,720,0.078
Trade (% of GDP),0.0002478774379674637,0.000359445755267752,0.6896101409872519,-0.00045662329675312866,0.0009523781726880561,0.49043938835156864,Adj. ≥3%,720,0.078
Hydrocarbons_Dominant,0.015025116941819969,0.05261156876824865,0.2855857997317066,-0.08809166301409971,0.11814189689773966,0.7751953808625237,Adj. ≥3%,720,0.078
Subsoil_Metals_Dominant,-0.028465592665604767,0.05393908763519218,-0.5277358945729106,-0.1341842617895312,0.07725307645832166,0.5976826562145627,Adj. ≥3%,720,0.078
Precious_Metals_Dominant,0.03708459113967928,0.07111262302691836,0.521490975317302,-0.10229358883925442,0.17646277111861297,0.6020247907498084,Adj. ≥3%,720,0.078
Access to electricity (% of population),0.003162740421709989,0.001456445908481401,2.1715467792468157,0.000308158895655723,0.006017321947764255,0.02988986505541196,Adj. ≥3%,720,0.078
ECI_lag1,-0.14652034741242778,0.04347088071399131,-3.3705401180259393,-0.23172170798808756,-0.061318986836767994,0.0007502098157506329,Adj. ≥3%,720,0.078
log_HCI_x_log_Production,0.014266897951187999,0.04297088656153026,0.33201311615386725,-0.06995449209316751,0.09848828799554352,0.7398793550033269,Adj. ≥3%,720,0.078
log_GFCF_x_log_Production,0.015864560188316185,0.01228128138096006,1.29176750342284,-0.008206309002367872,0.03993542937900024,0.19643767238084564,Adj. ≥3%,720,0.078
const,-0.4789351531550737,0.17122004208252342,-2.7971909557424355,-0.814520269068252,-0.14335003724189532,0.0051549056533950685,Adj. ≥2%,931,0.0745
