Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
log_HCI_x_log_Production,0.014266897951188018,0.04297088656153058,0.3320131161538652,-0.06995449209316812,0.09848828799554415,0.7398793550033285,Adj. ≥3%,720,0.8514
log_GFCF_x_log_Production,0.01586456018831639,0.012281281380960109,1.2917675034228515,-0.00820630900236776,0.03993542937900054,0.19643767238084153,Adj. ≥3%,720,0.8514
const,-0.4789351531550665,0.1712200420825347,-2.7971909557422094,-0.8145202690682669,-0.14335003724186607,0.005154905653398676,Adj. ≥2%,931,0.8742
log_HCI,0.16349650342984157,0.08720186675011722,1.8749197640269757,-0.007416014785049024,0.3344090216447322,0.06080376262840787,Adj. ≥2%,931,0.8742
log_GFCF,0.03139831251946461,0.024689852449247613,1.2717092005311448,-0.016992909064668757,0.07978953410359797,0.2034764604044038,Adj. ≥2%,931,0.8742
Political stability — estimate,0.015376518696454698,0.014410118359406924,1.067064011061152,-0.012866794300942282,0.04361983169385168,0.28594293177065655,Adj. ≥2%,931,0.8742
Rule of law index,0.041313718083657885,0.040162186607409375,1.0286720314186297,-0.03740272120724139,0.12003015737455716,0.30363381693125313,Adj. ≥2%,931,0.8742
log_Production_Value,-0.02035225837770925,0.00886339592192492,-2.2962145160823666,-0.03772419516540128,-0.00298032159001722,0.02166361895844734,Adj. ≥2%,931,0.8742
Trade (% of GDP),0.00015719294616686757,0.00030856423874801127,0.5094334547797,-0.00044758184869625315,0.0007619677410299884,0.610448431499921,Adj. ≥2%,931,0.8742
Hydrocarbons_Dominant,0.036228141871924024,0.0395403482229367,0.9162322412453788,-0.04126951658120423,0.11372580032505228,0.35954509848664906,Adj. ≥2%,931,0.8742
Subsoil_Metals_Dominant,0.0010892791397104917,0.04007382309495095,0.02718181235490192,-0.07745397084922281,0.0796325291286438,0.9783147219848727,Adj. ≥2%,931,0.8742
Precious_Metals_Dominant,0.03572101610405376,0.05333793325570459,0.6697112903270082,-0.06881941208692846,0.14026144429503598,0.5030418529796656,Adj. ≥2%,931,0.8742
Access to electricity (% of population),0.002518946017490342,0.0011488909908830296,2.192502193401567,0.0002671610531970684,0.004770730981783615,0.02834326489040528,Adj. ≥2%,931,0.8742
ECI_lag1,0.8566982286296707,0.03808256317890111,22.49581323098303,0.7820577763600534,0.9313386808992881,4.561433836089412e-112,Adj. ≥2%,931,0.8742
log_HCI_x_log_Production,-0.024207910770188662,0.03128165968063314,-0.7738691302615275,-0.08551883712086836,0.037103015580491026,0.4390081863790132,Adj. ≥2%,931,0.8742
log_GFCF_x_log_Production,0.014783951380913877,0.010864395455398903,1.360770734239723,-0.006509872425468612,0.036077775187296365,0.17358615317366766,Adj. ≥2%,931,0.8742
const,-0.449293610449369,0.158446170266535,-2.835623036477159,-0.7598423976600788,-0.13874482323865922,0.004573639444925341,Adj. ≥1%,1120,0.8802
log_HCI,0.1642780357916555,0.07837003084750051,2.0961843961925006,0.010675597863261471,0.3178804737200496,0.03606583659233981,Adj. ≥1%,1120,0.8802
log_GFCF,0.01838386180300405,0.018805493085542545,0.9775793551054165,-0.01847422735617635,0.055241950962184455,0.3282824121361708,Adj. ≥1%,1120,0.8802
Political stability — estimate,0.013309890666371265,0.01250258341204589,1.0645712352174797,-0.01119472253494658,0.037814503867689114,0.2870700024704992,Adj. ≥1%,1120,0.8802
Rule of law index,0.04848520086838572,0.030663400071094627,1.581207588068197,-0.011613958914502683,0.10858436065127411,0.11383058094031917,Adj. ≥1%,1120,0.8802
log_Production_Value,-0.015334283616272829,0.006281103200135769,-2.441336040449291,-0.027645019671718216,-0.003023547560827443,0.014633031357941051,Adj. ≥1%,1120,0.8802
Trade (% of GDP),0.00021269858021432785,0.00025255667488641186,0.8421815828466608,-0.00028230340661823097,0.0007077005670468867,0.399686321070458,Adj. ≥1%,1120,0.8802
Hydrocarbons_Dominant,0.025184799722700213,0.03570879882031576,0.7052827469618457,-0.04480315989630504,0.09517275934170547,0.48063429514100675,Adj. ≥1%,1120,0.8802
Subsoil_Metals_Dominant,-0.018418283217744455,0.03772314168278389,-0.4882489208514201,-0.09235428229970256,0.055517715864213654,0.625373536876888,Adj. ≥1%,1120,0.8802
Precious_Metals_Dominant,-0.000247678911564686,0.04001225784859189,-0.006190075863799382,-0.0786702632349349,0.07817490541180552,0.9950610655789868,Adj. ≥1%,1120,0.8802
Access to electricity (% of population),0.0022256303136515597,0.000842350605019299,2.642166219611807,0.0005746534654582091,0.0038766071618449105,0.00823776165720511,Adj. ≥1%,1120,0.8802
ECI_lag1,0.8601125808135824,0.03492943139838208,24.62429379407025,0.791652153272291,0.9285730083548739,6.940075964286048e-134,Adj. ≥1%,1120,0.8802
log_HCI_x_log_Production,-0.011228864191874213,0.026273793404788987,-0.4273788721284343,-0.06272455300250662,0.040266824618758204,0.6691033936150705,Adj. ≥1%,1120,0.8802
log_GFCF_x_log_Production,0.01531928430645952,0.010426409527472163,1.4692770570823352,-0.0051161028554512,0.03575467146837024,0.14175765710062793,Adj. ≥1%,1120,0.8802
