,Country,Country Code,Year,PC1,PC2,PC3,Cluster,hover_text
43,Greece,GRC,1995.0,1.7602844210401618,0.5217238994410953,0.1412946627330016,3,<b>Greece</b><br>Cluster: 3<br><br>Top Resources:<br>  Coal: $2.6B<br>  Aluminium: $291.7M<br>  Magnesium compounds: $85.4M
44,Guatemala,GTM,1999.0,-1.888416912427324,-0.14670309733075698,-1.091679784482734,5,<b>Guatemala</b><br>Cluster: 5<br><br>Top Resources:<br>  Gold: $39.2M
45,Guinea,GIN,1995.0,-1.2341302930122184,-0.6498513118646884,-1.085580410219726,5,<b>Guinea</b><br>Cluster: 5<br><br>Top Resources:<br>  Bauxite: $445.1M<br>  Gold: $104.6M
46,Honduras,HND,1995.0,-0.3753382280236527,1.8443328071136735,-0.4678575567830313,3,<b>Honduras</b><br>Cluster: 3<br><br>Top Resources:<br>  Zinc: $35.8M<br>  Silver: $5.3M<br>  Lead: $2.5M
47,Hungary,HUN,1995.0,-0.7890238528869976,-1.0173245392559838,0.044984993092185156,5,<b>Hungary</b><br>Cluster: 5<br><br>Top Resources:<br>  Coal: $662.1M<br>  Aluminium: $70.5M<br>  Bauxite: $25.5M
48,India,IND,1995.0,5.631369073371178,-1.286715938109409,1.0154695130403126,2,<b>India</b><br>Cluster: 2<br><br>Top Resources:<br>  Coal: $13.2B<br>  Aluminium: $1.0B<br>  Manganese: $263.7M
49,Indonesia,IDN,1995.0,3.6718110865469247,-1.015072221172974,0.1384633475922365,2,<b>Indonesia</b><br>Cluster: 2<br><br>Top Resources:<br>  Copper: $2.0B<br>  Coal: $1.9B<br>  Nickel: $1.5B
50,"Iran, Islamic Rep.",IRN,1995.0,2.452910696787603,1.5829967251335366,2.357706422258646,4,"<b>Iran, Islamic Rep.</b><br>Cluster: 4<br><br>Top Resources:<br>  Copper: $333.2M<br>  Aluminium: $232.1M<br>  Zinc: $95.7M"
51,Iraq,IRQ,1995.0,-1.6379646780561137,-1.3941263292707515,1.305683120710885,0,<b>Iraq</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $10.5M<br>  Natural Gas: $213
52,Ireland,IRL,1995.0,-0.518718302875879,1.560918133206225,0.06196033825625457,3,<b>Ireland</b><br>Cluster: 3<br><br>Top Resources:<br>  Zinc: $242.2M<br>  Lead: $46.0M<br>  Silver: $2.4M
