Country Code,Country Name,Year,Last_Known_ECI,Ensemble,LASSO,Ridge,Elastic Net,Random Forest,LASSO (Δ),Ridge (Δ),Elastic Net (Δ),Random Forest (Δ)
NER,Niger,2028,-0.62,-0.9972912460741525,-0.9737733285212804,-1.185540999138345,-1.0026039061720804,-0.8833885888674761,-0.9035679060725349,-1.0596343030800968,-0.9104568339954165,-1.0593641027459908
NER,Niger,2029,-0.62,-1.0170549331895622,-0.9893514357153653,-1.2139563285699797,-1.0178562418233672,-0.8817027956183712,-0.9211821549413683,-1.0885492736572768,-0.9285482285838907,-1.095293006606878
NER,Niger,2030,-0.62,-1.0357177755101978,-1.0027837012288892,-1.2396680114381518,-1.0309016819989718,-0.8828101154941479,-0.937168279983625,-1.115330244048763,-0.9449883844549826,-1.132091785434051
NGA,Nigeria,2020,-1.529,-1.4343409497547315,-1.4010507323287138,-1.3783755189654552,-1.3811557566969461,-1.52430180063419,-1.4344268403374978,-1.4168645086518472,-1.4307957444456774,-1.5077566959775255
NGA,Nigeria,2021,-1.529,-1.3569337074432883,-1.2964912127361945,-1.2573959552376461,-1.2626698550458804,-1.5236668114679808,-1.351707385673245,-1.3226453160306182,-1.3448259195826966,-1.4960672037720453
NGA,Nigeria,2022,-1.529,-1.2988541542276617,-1.21121938757405,-1.159939150212319,-1.1678254969741375,-1.5293158312160429,-1.2793368547267019,-1.2436412091329567,-1.269518649569919,-1.5300366544151678
NGA,Nigeria,2023,-1.529,-1.2543488025855032,-1.141850765334677,-1.0811417304360484,-1.0920163213422718,-1.5351079270510737,-1.2160005645883891,-1.1775552875645503,-1.203502941721525,-1.5876148826454906
NGA,Nigeria,2024,-1.529,-1.215791908948078,-1.0855928952734275,-1.0171402871217694,-1.0315307114940193,-1.5351079270510737,-1.160549915674548,-1.1224344467702096,-1.1455830139691232,-1.628396074230453
NGA,Nigeria,2025,-1.529,-1.1809436467643177,-1.0401418031762235,-0.9648657720874099,-0.9833779991369866,-1.5315844112510795,-1.1119814104921335,-1.0766179193030974,-1.094715903232111,-1.6442639554355005
NGA,Nigeria,2026,-1.529,-1.1510182301554701,-1.0035965433632494,-0.9218801682182873,-0.9451484265662574,-1.5267436951950177,-1.0694183229541903,-1.038693518342418,-1.0499919354015903,-1.6526732312027506
NGA,Nigeria,2027,-1.529,-1.1268970376742269,-0.9743886979001679,-0.8862467423323663,-0.9149003099745125,-1.5233003149812003,-1.032094683402722,-1.0074604306011414,-1.0106176912283185,-1.6661674309733854
NGA,Nigeria,2028,-1.529,-1.1071785435509378,-0.9512242083386656,-0.856426975525982,-0.8910691202807104,-1.5262338318933044,-0.9993412867967236,-0.9818975783230718,-0.975901149142251,-1.6753341981067928
NGA,Nigeria,2029,-1.529,-1.0902452248540788,-0.9330353826873483,-0.8311986858078874,-0.8723942241952298,-1.5266461003856393,-0.9705734684797933,-0.9611367167981785,-0.9452387267953866,-1.6817384936831679
NGA,Nigeria,2030,-1.529,-1.0756950270499714,-0.9189412976850034,-0.8095909856471135,-0.8578598551783763,-1.5297957586826678,-0.9452804242297574,-0.9444395585925011,-0.9181039786741915,-1.681548357710161
OMN,Oman,2020,-0.179,-0.1678130857532714,-0.1691571737828882,-0.14600801846909484,-0.16691124128061874,-0.17877370101898685,-0.16588838423244429,-0.15855821010590243,-0.1645600244240912,-0.19264793271214462
OMN,Oman,2021,-0.179,-0.1608299702529373,-0.16023209570349217,-0.12732722989699408,-0.15644192859064843,-0.17877370101898687,-0.15549171968969328,-0.1495844328840576,-0.15314898051579826,-0.2056396737238277
OMN,Oman,2022,-0.179,-0.15809415809961536,-0.15208375414710684,-0.12005045914710721,-0.14730380605689164,-0.1787737010189869,-0.14748056384109356,-0.1503911423395576,-0.14439521567154376,-0.22427462257463515
OMN,Oman,2023,-0.179,-0.157524125273205,-0.14459580431345653,-0.12186827921864984,-0.13926460893330794,-0.1801192472374742,-0.14156709248899818,-0.15954339827394354,-0.13797457388114218,-0.2352599978386676
OMN,Oman,2024,-0.179,-0.15944297259997298,-0.13767225331160426,-0.13094610745960822,-0.1321371878249693,-0.18120330600698759,-0.1374998421426829,-0.17582103970636723,-0.1336043257410378,-0.24665971860652658
OMN,Oman,2025,-0.179,-0.16366877624735776,-0.1312339000505811,-0.1458265721903732,-0.12577074543431355,-0.1847503386473337,-0.1350591165859013,-0.19818653711414677,-0.1310378742018987,-0.25748512575431387
OMN,Oman,2026,-0.179,-0.17343045204293278,-0.12521539789117808,-0.16535195385538426,-0.120043775491118,-0.22214113787461515,-0.13405297373078215,-0.22575765649100502,-0.13006013691298768,-0.26482058409639203
OMN,Oman,2027,-0.179,-0.1824214919446417,-0.11956283112082533,-0.1886025731524571,-0.1148583732322207,-0.24155808913577728,-0.13431371945074547,-0.25778421499894455,-0.1304835186953524,-0.27220861577081085
OMN,Oman,2028,-0.179,-0.1930141004435148,-0.11423171536975074,-0.2148478472605585,-0.11013565101970468,-0.2644455632739331,-0.1356948443459962,-0.2936283157915257,-0.1321443987263377,-0.27898446776031177
OMN,Oman,2029,-0.179,-0.20222731189377538,-0.10918534780941547,-0.2435074094615064,-0.10581204443428127,-0.2644455632739331,-0.13806834748611374,-0.3327475412525525,-0.13490006665615817,-0.28915217477624244
OMN,Oman,2030,-0.179,-0.2124241652036532,-0.10439344594667277,-0.27412022300782124,-0.10183633587701768,-0.2644455632739331,-0.14132239824308748,-0.3746806618399734,-0.13862605028374955,-0.29996864315697036
PNG,Papua New Guinea,2020,-1.409,-1.3586106619150158,-1.3430714716417729,-1.4036907635555709,-1.3354330954197213,-1.3010084845482006,-1.3678301735084357,-1.3980601274024187,-1.3684353052074825,-1.3513558740365246
PNG,Papua New Guinea,2021,-1.409,-1.3184307684090961,-1.2889085518803252,-1.3972201169454486,-1.2756424551060244,-1.2349814341594625,-1.333367627800617,-1.388602158480434,-1.3343835457158304,-1.2943402571846263
PNG,Papua New Guinea,2022,-1.409,-1.278553264776678,-1.244420137939748,-1.38975424031634,-1.2269077418620413,-1.1318248639371047,-1.3047421785065667,-1.38034886074332,-1.3059863079012484,-1.2444417870070554
PNG,Papua New Guinea,2023,-1.409,-1.2534102620732144,-1.2078809185020467,-1.381425145294573,-1.18703701967909,-1.104297791625389,-1.2811935712729785,-1.373064497351193,-1.2824948819936446,-1.209888270866801
PNG,Papua New Guinea,2024,-1.409,-1.234999737092392,-1.177867386708404,-1.3723377004208897,-1.1542641165283163,-1.1021356841448997,-1.2620575943515568,-1.3665486161220848,-1.2632562421039932,-1.1815305563589924
PNG,Papua New Guinea,2025,-1.409,-1.2196220573594758,-1.1532050462485217,-1.362575212076277,-1.1271659235127676,-1.1021356841448995,-1.2467539455780927,-1.3606307681890488,-1.247700817981214,-1.1568090611449857
PNG,Papua New Guinea,2026,-1.409,-1.2153704835970145,-1.1329248525587157,-1.3522038579062328,-1.1045957579200587,-1.106990595702735,-1.234775632110845,-1.3551660171589859,-1.2353318295184714,-1.2009753259000708
PNG,Papua New Guinea,2027,-1.409,-1.2043030600168252,-1.1162272736539363,-1.3412762086827876,-1.0856296699065067,-1.1122406825342843,-1.2256797092954077,-1.3500311204523412,-1.2257159842920855,-1.1776238313172527
PNG,Papua New Guinea,2028,-1.409,-1.198633629975515,-1.102452637709921,-1.329834026031808,-1.0695231786280024,-1.1193120083903325,-1.2190791894847899,-1.3451212822128744,-1.218475363939715,-1.1852713534066766
PNG,Papua New Guinea,2029,-1.409,-1.1913969755998077,-1.0910566676697635,-1.317910484915874,-1.055676411990801,-1.1245506359396595,-1.2146359730147689,-1.3403473922359392,-1.2132803474461078,-1.173717891585547
PNG,Papua New Guinea,2030,-1.409,-1.1900113177824552,-1.0815902955214918,-1.3055319391495082,-1.0436060176941668,-1.125875515276009,-1.2120546722060839,-1.3356336781689173,-1.2098434388213286,-1.2059549854221374
QAT,Qatar,2020,0.003,0.0372867829596995,0.06342907453794688,0.04896165468075242,0.06833789194960005,-0.06658243790844028,0.06671860668320474,0.05069938363354666,0.0682971374963415,-0.001567047395356025
QAT,Qatar,2021,0.003,0.07300336180993074,0.126974004382314,0.09285267295787847,0.1360809556661977,-0.13044534981294856,0.13253606846999394,0.09561874339553392,0.135532453971942,-0.005122654551465619
QAT,Qatar,2022,0.003,0.11622041824469509,0.19309459197439838,0.1351112106491098,0.2057685435457388,-0.1383686377428228,0.20019060069883507,0.1381832094417033,0.20446208909817343,-0.008678261707575212
QAT,Qatar,2023,0.003,0.1615437723656576,0.26134513518385993,0.1760853337733408,0.2770294846643384,-0.13836863774282274,0.2694534898517363,0.17875427922565923,0.2748733474965839,-0.006822253527434982
QAT,Qatar,2024,0.003,0.2070753891264089,0.33135789745619304,0.21605154203365862,0.3495647047328325,-0.13974975938944628,0.3401249156909268,0.2176393419250398,0.3465807159093615,-0.004966245347294753
QAT,Qatar,2025,0.003,0.2530392145205541,0.40282946948658616,0.25522948366245934,0.4231332219698287,-0.13974975938944623,0.4120303011832106,0.2550997772690434,0.41942238936888343,-0.003681167386132584
QAT,Qatar,2026,0.003,0.29929129783492137,0.4755095166125791,0.29379364472774316,0.4975408631512577,-0.13974975938944625,0.48501712353680504,0.2913578421483021,0.4932572413171006,-0.002396089424970421
QAT,Qatar,2027,0.003,0.34579517071041,0.5491914945976077,0.3318826349856361,0.5726311714664531,-0.13974975938944623,0.5589521280985217,0.3266025264496175,0.5679621809386979,-0.0011110114638082545
QAT,Qatar,2028,0.003,0.3926755640048606,0.623704989479662,0.3696065644564608,0.648278080441929,-0.13974975938944625,0.6337188942181167,0.36099453240009144,0.643429848222743,0.001421362209328021
QAT,Qatar,2029,0.003,0.43982691839555976,0.6989093973913543,0.40705290329321575,0.7243800108899867,-0.13974975938944625,0.7092157086159488,0.3946705086121578,0.719566603591678,0.004569974159582495
QAT,Qatar,2030,0.003,0.48740162262408504,0.7746887099534912,0.4442911367947231,0.8008551144723013,-0.13974975938944623,0.7853537074071865,0.42774665038451826,0.7962907744524298,0.009736646917476204
RUS,Russian Federation,2020,0.257,0.22496204038023893,0.19484661134164538,0.27070502785533546,0.1965327365386732,0.2236220880929355,0.212386599756865,0.25117241820923464,0.21535262176478115,0.23507821948244104
RUS,Russian Federation,2021,0.257,0.19866175206772085,0.1425678150937355,0.28250548513525087,0.14692504707113652,0.2089052977577194,0.1728247882478654,0.24619886327254123,0.17851726255950667,0.21084945740401126
RUS,Russian Federation,2022,0.257,0.17694016110661115,0.09843706418799525,0.2928042219076694,0.10606862208614265,0.20665269023892255,0.13767694878266618,0.24195761256071863,0.14587957970260823,0.18604454938616635
RUS,Russian Federation,2023,0.257,0.1583384786187064,0.0610298321820788,0.3019212577037229,0.07226467235253597,0.20809875842074058,0.10638601451280064,0.23834516266449804,0.11690374249997262,0.16175838861330166
RUS,Russian Federation,2024,0.257,0.1411099199780354,0.029170781535395318,0.3101108124142855,0.044144383264825726,0.2029658059638763,0.07846529260484006,0.2352735023751125,0.09112239854166983,0.137626383124278
RUS,Russian Federation,2025,0.257,0.12547590445182208,0.0018901736083107856,0.3175748354412802,0.02060482022121335,0.20666375289320554,0.05348957392138397,0.23266779384013445,0.0681279222895085,0.10278836339953992
RUS,Russian Federation,2026,0.257,0.11223356398272423,-0.02161209624717797,0.32447375310224236,0.0007572838091082223,0.2149349247884282,0.03108736581222194,0.2304644007996552,0.04756478208075311,0.07019809771656278
RUS,Russian Federation,2027,0.257,0.09984390383229493,-0.041996172343766736,0.3309350062467751,-0.016114303465704527,0.21493492478842818,0.010934106133642676,0.2286092119524573,0.02912288261625172,0.04232557473027572
RUS,Russian Federation,2028,0.257,0.08910673773116749,-0.05980672157555811,0.3370598324423624,-0.030586927443944756,0.21613670683971034,-0.007253765462239065,0.22705621527766404,0.012531758267665331,0.017716803503679858
RUS,Russian Federation,2029,0.257,0.07927428704674522,-0.07549313359845922,0.34292865366595926,-0.043125499623433705,0.22053631898603687,-0.02372398726668978,0.22576628574930988,-0.002444491529486871,-0.010249850009274683
RUS,Russian Federation,2030,0.257,0.06990454166600278,-0.08942618744277764,0.34860535622517075,-0.0541046265985663,0.22297963707546786,-0.038693000899341204,0.22470615450357098,-0.016011619634317218,-0.03881937990118496
