NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,SCALE_FACTOR,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
El Algarrobito concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-28.8028,-70.9839,1.0,8,0.02827,5e-05,0.0,0.1561,5
SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Carmen de Andacollo ,-30.261,-71.0917,2.279,20,0.07067,0.04238,0.0,0.16221,13
Plant near Coquimbo (Region IV),plant,Processing Plant,Active,,Compañía Minera San Gerónimo,-29.8353,-71.1035,1.0,22,0.07774,0.2576,0.0,0.17343,13
Quebrada Blanca SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Quebrada Blanca ,-21.0027,-68.7964,3.361,14,0.04947,0.0118,0.00198,0.11522,6
Collahuasi SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Doña Inés de Collahuasi SCM ,-20.9779,-68.6315,4.369,13,0.04594,0.0,0.00117,0.1151,6
Zaldívar SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Zaldívar ,-24.201,-69.0689,3.655,16,0.05654,0.00378,0.60381,0.1652,14
Escondida oxide plant for cathode production (SX-EW),plant,SX-EW Plant,Active,,Minera Escondida Ltda. ,-24.2536,-69.1008,1.0,15,0.053,3e-05,0.1578,0.16494,14
Escondida concentrator,plant,Concentrator,Active,,Minera Escondida Ltda.,-24.2628,-69.0581,1.0,22,0.07774,0.09413,0.20864,0.16699,14
Escondida sulfide-leach plant for cathode production,plant,Processing Plant,Active,,Minera Escondida Ltda. ,-24.2601,-68.9925,1.0,15,0.053,0.19395,0.11346,0.16494,14
Plant near Iquique,plant,Processing Plant,Active,,Cosayach Nitratos S.A. ,-20.223,-69.7966,1.0,9,0.0318,0.00048,0.0,0.03289,15
Nueva Victoria plant,plant,Processing Plant,Active,,SQM Químicos S.A. ,-20.9592,-69.6633,1.0,9,0.0318,0.0,0.0,0.03289,15
Iris Plant,plant,Processing Plant,Active,,SQM Químicos S.A. ,-20.9622,-69.6625,1.0,9,0.0318,0.00083,0.0,0.03289,15
Manuel Antonio Matta plant,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-27.4131,-70.2517,4.369,20,0.07067,0.04461,0.0,0.17484,11
Dos Amigos SX-EW plant,plant,SX-EW Plant,Active,,CEMIN,-28.9869,-70.8859,1.0,20,0.07067,0.05939,0.0,0.16494,13
Esperanza milling/flotation plant,plant,Concentrator,Active,,Minera Esperanza S.A. ,-22.9998,-69.1036,1.0,12,0.0424,0.04363,0.01151,0.14063,2
Cerro Bayo concentration plant,plant,Concentrator,Active,,Compañía Minera Cerro Bayo Ltda. ,-46.5463,-71.9995,5.0,1,0.00353,0.0,0.0,0.00471,0
Concentration plant,plant,Concentrator,Active,,Compañía Minera Cerro Bayo Ltda. ,-46.5463,-71.9995,1.0,1,0.00353,0.0,0.0,0.00471,0
Cerro Colorado SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Cerro Colorado ,-20.0624,-69.2663,3.493,8,0.02827,0.0,9e-05,0.11153,6
La Cascada SX-EW plant,plant,SX-EW Plant,Active,,Haldeman Mining Company S.A. ,-20.1873,-69.3329,1.0,9,0.0318,0.00757,3e-05,0.11164,6
Collahuasi plants,plant,Processing Plant,Active,,Compañía Minera Doña Inés de Collahuasi SCM ,-20.9761,-68.6272,1.0,4,0.01413,0.0123,0.00011,0.11364,6
Molybdenum plant,plant,Processing Plant,Active,,Compañía Minera Doña Inés de Collahuasi SCM ,-20.9761,-68.6272,1.0,9,0.0318,0.01173,0.00052,0.11461,6
El Romeral concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-29.7282,-71.2317,1.0,6,0.0212,0.0,0.0,0.15565,5
El Romeral pellet-feed plant,plant,Pellet Plant,Active,,Compañía Minera del Pacífico S.A. (CMP),-29.7308,-71.2325,1.0,6,0.0212,0.00378,0.0,0.15565,5
Plant in Coquimbo city,plant,Processing Plant,Care & Maintenance,,Manganesos Atacama S.A. ,-29.9512,-71.2918,1.0,4,0.01413,0.00616,0.0,0.14362,13
El Laco concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-23.8435,-67.4856,1.0,1,0.00353,0.0,0.0,0.00353,3
Doña Rosa concentration plant,plant,Concentrator,Active,,Sociedad Contractual Minera El Toqui Ltda. ,-45.0341,-71.9341,1.0,2,0.00707,3e-05,0.0,0.00707,4
Coya Sur plant,plant,Processing Plant,Active,,SQM Nitratos S.A. ,-22.3962,-69.6207,4.847,4,0.01413,0.0,0.0,0.0186,10
Maria Elena plant,plant,Processing Plant,Active,,SQM Nitratos S.A. ,-22.3367,-69.6595,4.847,4,0.01413,0.0,0.0,0.0186,10
María Elena plant,plant,Processing Plant,Active,,SQM Químicos S.A. ,-22.3367,-69.6595,1.0,4,0.01413,0.00023,0.0,0.0186,10
Boric acid and agrochemical plants,plant,Processing Plant,Active,,Química Industrial del Bórax Ltda. ,-18.4414,-69.879,4.601,2,0.00707,3e-05,0.0,0.00707,8
Mine brines of Atacama Salar,plant,Processing Plant,Active,,S.Q.M. Salar S.A. ,-23.4874,-68.3354,1.0,1,0.00353,0.0,0.0,0.00353,9
