Variable,Coef,SE,p,CI_lo,CI_hi,Spec,N,R2,R2_adj
log_HCI_x_Prod,-0.0839766928546907,0.052022256456157726,0.10672397276086315,-0.1860362465294284,0.018082860820046995,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
log_GFCF_x_Prod,-0.00976194366948828,0.004870628942610414,0.045256788494143586,-0.019317358022131935,-0.00020652931684462562,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.4803530399146917,0.4766500924556515
const,-2.261492800196841,0.261407169427738,1.2978965143719096e-17,-2.774258524173214,-1.7487270762204679,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
log_HCI,1.7113506061704638,0.2960588099379626,9.061763039550844e-09,1.1306136265774538,2.2920875857634737,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
log_GFCF,0.08770393471499474,0.030244648415926507,0.00378861439406747,0.02837725643239898,0.14703061299759052,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
Political stability — estimate,-0.002602892169439477,0.036247676446649835,0.9427639386771494,-0.07370486728479947,0.06849908294592053,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
Rule of law index,0.29593090597149907,0.11959556019872683,0.013455672384986846,0.06133709531240669,0.5305247166305914,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
log_Prod,0.040119642201523364,0.01968320855155016,0.0416997002093405,0.0015098569182487517,0.07872942748479797,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
Trade (% of GDP),-2.3885612832520698e-05,0.0008817148211785989,0.9783916208970002,-0.001753421721624373,0.0017056504959593317,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
NR rents excl. forest (% of GDP),-0.013081873797883047,0.0032638601678865943,6.423908457559573e-05,-0.019484129809482817,-0.006679617786283276,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
log_HCI_x_Prod,-0.031535127416958894,0.04872539915638476,0.5176016869282392,-0.12711289840601364,0.06404264357209587,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
log_GFCF_x_Prod,-0.005920402381420734,0.004329871381697373,0.17172554655873756,-0.014413702846825048,0.00257289808398358,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.4635171103969653,0.4602722542098502
const,-1.2639910484253845,0.10615396691800014,9.279704203810677e-32,-1.4721594111591223,-1.0558226856916466,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
log_HCI,0.7928788541218417,0.1267889123741379,4.775561489586785e-10,0.5442452790609722,1.0415124291827111,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
log_GFCF,-0.014005145280922608,0.02014439856067408,0.4869771371183329,-0.05350839314231107,0.02549810258046585,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
Political stability — estimate,0.016158609419744875,0.02952521688403538,0.5842387648978851,-0.041740461491621784,0.07405768033111154,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
Rule of law index,0.3689681627477711,0.09812994413020375,0.0001741873897377324,0.17653494147666038,0.5614013840188818,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
log_Prod,0.023635898561806697,0.011188196362539026,0.034745552059563256,0.0016957997943965637,0.04557599732921683,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
Trade (% of GDP),0.0007166488434320507,0.0007372028058942751,0.3310943857266263,-0.000729008870181917,0.0021623065570460184,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
NR rents excl. forest (% of GDP),-0.014683773856453388,0.0023839108649641545,8.597358258591263e-10,-0.019358632800218482,-0.010008914912688292,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
log_HCI_x_Prod,0.10228225087221751,0.02681188477523755,0.00013990727929253597,0.049704035309362085,0.15486046643507295,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
log_GFCF_x_Prod,0.007425899147982726,0.003481447243858749,0.0330318044929724,0.0005987668820940269,0.014253031413871424,All non-HIC countries (93 ctry),2292.0,0.3830533416394204,0.38062016025237166
