Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Papua New Guinea,PNG,1995.0,1.1793141049256761,4.566819855256277,2,"Minerals, No Oil","<b>Papua New Guinea</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $3,636,344,005<br>  Gold: $2,078,434,370<br>  Copper: $1,617,312,880"
Qatar,QAT,1995.0,5.455104399237923,-1.0682883747644523,3,"Oil, Few Minerals","<b>Qatar</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $51,520,517,027"
Russian Federation,RUS,1995.0,2.83273853981252,4.758852469877985,2,"Minerals, No Oil","<b>Russian Federation</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $462,095,560,491<br>  Coal: $37,513,351,256<br>  Aluminium: $16,197,567,870"
Rwanda,RWA,1999.0,-3.7106241301662477,-1.5716065614961916,0,"No Oil, No Minerals","<b>Rwanda</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $88,100"
Saudi Arabia,SAU,1995.0,5.0241930961038035,0.12382055129316887,3,"Oil, Few Minerals","<b>Saudi Arabia</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $566,472,733,546<br>  Gold: $236,543,290<br>  Silver: $7,380,567"
Tanzania,TZA,1995.0,-3.718906387578589,-1.4860637534320538,0,"No Oil, No Minerals","<b>Tanzania</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $609,849,900<br>  Copper: $11,678,590<br>  Coal: $5,947,222"
Togo,TGO,2005.0,-3.8786563349634133,-0.35227591995015506,0,"No Oil, No Minerals","<b>Togo</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $73,530,100"
Trinidad and Tobago,TTO,1995.0,3.3956328704745173,-1.1825230987223152,1,"Some Oil, No Minerals","<b>Trinidad and Tobago</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $9,039,802,049"
Uganda,UGA,1995.0,-3.7807974775321562,-1.0623916001952172,0,"No Oil, No Minerals","<b>Uganda</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $107,966,180"
United Arab Emirates,ARE,1995.0,6.471391493990894,-0.8668923791526086,3,"Oil, Few Minerals","<b>United Arab Emirates</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $155,214,788,725<br>  Aluminium: $2,335,565,550"
Uzbekistan,UZB,1995.0,0.4474890534595662,2.7499324373888063,2,"Minerals, No Oil","<b>Uzbekistan</b><br>Cluster: 2<br><br>Top Resources:<br>  Oil: $8,228,825,013<br>  Gold: $2,624,140,000<br>  Copper: $493,840,000"
"Venezuela, RB",VEN,1995.0,4.138388248685627,0.9705190059571228,3,"Oil, Few Minerals","<b>Venezuela, RB</b><br>Cluster: 3<br><br>Top Resources:<br>  Oil: $181,614,413,865<br>  Aluminium: $3,124,186,360<br>  Coal: $818,880,865"
Viet Nam,VNM,1995.0,-0.4405369128070429,-0.5026768712656665,1,"Some Oil, No Minerals","<b>Viet Nam</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $18,163,107,026<br>  Coal: $2,712,757,905<br>  Zinc: $96,060,000"
"Yemen, Rep.",YEM,1995.0,1.777803641291244,-1.2722608167852016,1,"Some Oil, No Minerals","<b>Yemen, Rep.</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $22,947,464,477"
Zambia,ZMB,1995.0,-4.009045989140342,2.0362881158531607,0,"No Oil, No Minerals","<b>Zambia</b><br>Cluster: 0<br><br>Top Resources:<br>  Copper: $3,042,506,060<br>  Cobalt: $521,911,794<br>  Coal: $24,497,381"
Zimbabwe,ZWE,1995.0,-4.014613283199076,2.353248394478691,0,"No Oil, No Minerals","<b>Zimbabwe</b><br>Cluster: 0<br><br>Top Resources:<br>  Gold: $724,414,640<br>  Coal: $593,971,413<br>  Copper: $42,587,280"
