,Country,Country Code,Year,PC1,PC2,Cluster,Aluminium,Bauxite,Cadmium,Coal,Cobalt,Copper,Gold,Lead,Lithium,Magnesium compounds,Manganese,Natural Gas,Natural Graphite,Nickel,Oil,Rare Earth,Silver,Tin,Vanadium,Zinc,Aluminium_Share,Bauxite_Share,Cadmium_Share,Coal_Share,Cobalt_Share,Copper_Share,Gold_Share,Lead_Share,Lithium_Share,Magnesium compounds_Share,Manganese_Share,Natural Gas_Share,Natural Graphite_Share,Nickel_Share,Oil_Share,Rare Earth_Share,Silver_Share,Tin_Share,Vanadium_Share,Zinc_Share,Dominant_Resources,Is_Dominant,Max_Production_Share,hover_text
20,"Iran, Islamic Rep.",IRN,1995,3.534316432033784,0.8001850228320699,0,232055580.0,4839029.0,0.0,84661517.24987881,0.0,333172000.0,4921000.0,15868200.0,0.0,0.0,0.0,2173943546.362407,0.0,0.0,27056962010.899475,0.0,10626000.0,0.0,0.0,95700000.0,0.5776533112675356,0.16039980760675807,0.0,0.040525892429792924,0.0,1.0055589106983005,0.017116118989408825,0.5759548625260945,0.0,0.0,0.0,1.54857972288089,0.0,0.0,5.610052396365569,0.0,0.42083550998811003,0.0,0.0,1.0243602764105513,[],False,5.610052396365569,"<b>Iran, Islamic Rep.</b><br>Cluster: Some Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $27.1B (5.6% global)<br>   Natural Gas: $2.2B (1.5% global)<br>   Copper: $333.2M (1.0% global)<br>   Aluminium: $232.1M<br>   Zinc: $95.7M (1.0% global)"
21,Iraq,IRQ,1995,2.1568921691868717,-1.4657277492295622,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205435910.7841699,0.0,0.0,3832401812.797224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14633953412647568,0.0,0.0,0.7946189585164027,0.0,0.0,0.0,0.0,0.0,[],False,0.7946189585164027,"<b>Iraq</b><br>Cluster: No Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $3.8B<br>   Natural Gas: $205.4M"
22,Kazakhstan,KAZ,1995,1.984486650897295,5.423762234315508,0,0.0,83294350.0,5439562.5,3814865850.708746,0.0,758276000.0,145249300.0,30439000.0,0.0,0.0,0.0,286091752.0877728,0.0,0.0,3255406649.208713,0.0,65702860.3,0.0,0.0,214368000.0,0.0,2.7609666556513655,6.370238246910434,1.826105273351151,0.0,2.288581239025682,0.505203068873875,1.1048190759148355,0.0,0.0,0.0,0.2037936481413741,0.0,0.0,0.6749834614167245,0.0,2.602117139283648,0.0,0.0,2.2945670191596346,[],False,6.370238246910434,"<b>Kazakhstan</b><br>Cluster: Some Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Coal: $3.8B (1.8% global)<br>   Oil: $3.3B<br>   Copper: $758.3M (2.3% global)<br>   Natural Gas: $286.1M<br>   Zinc: $214.4M (2.3% global)"
23,Kenya,KEN,1995,-3.4432364491984955,-1.5643659533886642,1,0.0,0.0,0.0,0.0,0.0,0.0,2008300.0,3992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006985226938920898,0.00014489430503801122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,0.006985226938920898,"<b>Kenya</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Gold: $2.0M<br>   Lead: $4.0K"
24,Kuwait,KWT,1995,7.263015254105349,-0.8565174286096725,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601272649.3001318,0.0,0.0,15393911407.96878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42830856127201133,0.0,0.0,3.191808805028646,0.0,0.0,0.0,0.0,0.0,[],False,3.191808805028646,"<b>Kuwait</b><br>Cluster: Some Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $15.4B (3.2% global)<br>   Natural Gas: $601.3M"
25,Lao PDR,LAO,1995,-3.434915282692792,-1.4657833349375555,1,0.0,0.0,0.0,1625891.2351437283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007782838701496602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,0.0007782838701496602,"<b>Lao PDR</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Coal: $1.6M"
26,Liberia,LBR,1995,-3.585381649653438,-0.7748751456358445,1,0.0,0.0,0.0,0.0,0.0,0.0,10640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03700782484196502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,0.03700782484196502,"<b>Liberia</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Gold: $10.6M"
27,Libya,LBY,1995,5.277601076365289,-1.1241312681331588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410871821.5683398,0.0,0.0,10399924185.94698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29267906825295137,0.0,0.0,2.1563440706273336,0.0,0.0,0.0,0.0,0.0,[],False,2.1563440706273336,"<b>Libya</b><br>Cluster: Some Oil, No Minerals<br><br><b>Top Production (Total Value):</b><br>   Oil: $10.4B (2.2% global)<br>   Natural Gas: $410.9M"
28,Madagascar,MDG,1995,-3.4382764762522107,-1.5994311340268164,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8549517.599999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3083820966838178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,3.3083820966838178,"<b>Madagascar</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Natural Graphite: $8.5M (3.3% global)"
29,Malawi,MWI,1995,-3.4366457089470632,-1.5677018575048298,1,0.0,0.0,0.0,687189.8711511954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032894500006325444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],False,0.00032894500006325444,"<b>Malawi</b><br>Cluster: Oil, Few Minerals<br><br><b>Top Production (Total Value):</b><br>   Coal: $687.2K"
