Variable,Coef,SE,tstat,CI_lo,CI_hi,p,Spec,N,R2
Trade (% of GDP),0.0002983691964620625,0.0002919258721758717,1.022071782258165,-0.00027379499915808944,0.0008705333920822144,0.3067469273681561,Adj. ≥3%,933,0.0885
Hydrocarbons_Dominant,-0.0005460592414954311,0.04988746587738935,-0.010945820395798521,-0.09832369564114944,0.09723157715815857,0.9912666732926307,Adj. ≥3%,933,0.0885
Subsoil_Metals_Dominant,-0.06702579889917192,0.05293413361144698,-1.2662113144452718,-0.17077479433043913,0.0367231965320953,0.20543743779718893,Adj. ≥3%,933,0.0885
Precious_Metals_Dominant,0.04173835874634951,0.05456946096053188,0.7648666124178386,-0.06521581939205748,0.1486925368847565,0.4443509770136864,Adj. ≥3%,933,0.0885
Access to electricity (% of population),0.0030706530665507666,0.0010541335814625412,2.9129638980767854,0.001004589211989967,0.005136716921111567,0.0035801598943145906,Adj. ≥3%,933,0.0885
ECI_lag1,-0.16892268247354397,0.0381329806447101,-4.429831595054643,-0.24366195116033873,-0.0941834137867492,9.430670284878241e-06,Adj. ≥3%,933,0.0885
log_HCI_x_log_Production,0.04337706227440069,0.03399377908135972,1.2760294220475839,-0.023249520423475445,0.11000364497227683,0.20194511867501796,Adj. ≥3%,933,0.0885
log_GFCF_x_log_Production,0.007344696095985448,0.008771911622714528,0.837297092342636,-0.009847934760103328,0.024537326952074223,0.40242559325411287,Adj. ≥3%,933,0.0885
const,-0.4282742583674336,0.12978219443323086,-3.299946192447595,-0.6826426852911407,-0.17390583144372646,0.0009670336756633552,Adj. ≥2%,1216,0.0752
log_HCI,0.17088625364174903,0.0762358912685564,2.2415459542509644,0.021466652426066907,0.3203058548574311,0.024990732317456247,Adj. ≥2%,1216,0.0752
log_GFCF,0.02172632787332999,0.013749349077858877,1.580171377590286,-0.005221901130142412,0.04867455687680239,0.11406762467533152,Adj. ≥2%,1216,0.0752
Political stability — estimate,0.015680722032482032,0.012974204300242383,1.2086076085752007,-0.009748251124057732,0.0411096951890218,0.22681363191957338,Adj. ≥2%,1216,0.0752
Rule of law index,0.10451824818936359,0.03230224753766807,3.2356339312762525,0.041207006395836535,0.16782948998289066,0.0012137293059243037,Adj. ≥2%,1216,0.0752
log_Production_Value,-0.02303341870530329,0.006575493600004518,-3.5029185801789033,-0.03592114934188577,-0.010145688068720812,0.0004601901056767167,Adj. ≥2%,1216,0.0752
Trade (% of GDP),6.213922363981276e-05,0.0002662413094464514,0.23339437358165002,-0.0004596841540720157,0.0005839626013516412,0.8154551817824072,Adj. ≥2%,1216,0.0752
Hydrocarbons_Dominant,0.0397765865007937,0.03696867496550966,1.0759538051581161,-0.032680684987772754,0.11223385798936016,0.28194791669395713,Adj. ≥2%,1216,0.0752
Subsoil_Metals_Dominant,-0.02347762131697384,0.039625467987738985,-0.5924881776598411,-0.1011421114434871,0.05418686880953942,0.5535237350742943,Adj. ≥2%,1216,0.0752
Precious_Metals_Dominant,0.04804421639635062,0.048927224467646274,0.9819526228821839,-0.047851381423743,0.14393981421644425,0.32612318916046923,Adj. ≥2%,1216,0.0752
Access to electricity (% of population),0.002196228815522606,0.0007873747196604994,2.7893057278617954,0.000653002722650706,0.0037394549083945064,0.005282117594079781,Adj. ≥2%,1216,0.0752
ECI_lag1,-0.1463404603798552,0.031234203128023406,-4.685263132215407,-0.20755837359658938,-0.08512254716312104,2.7960048730402334e-06,Adj. ≥2%,1216,0.0752
log_HCI_x_log_Production,-0.0009916720149002003,0.0245238530361359,-0.0404370395401967,-0.04905754072787982,0.047074196698079426,0.9677447011034923,Adj. ≥2%,1216,0.0752
log_GFCF_x_log_Production,0.005119526035085739,0.007248937052958137,0.7062450670607727,-0.009088129514910127,0.019327181585081607,0.4800357485188793,Adj. ≥2%,1216,0.0752
const,-0.37813769247166196,0.11692712970684269,-3.233960274400997,-0.607310655512717,-0.14896472943060685,0.0012208643602204408,Adj. ≥1%,1429,0.0707
log_HCI,0.13896998742660985,0.06670385774173641,2.0833875600519685,0.00823282862292321,0.26970714623029646,0.037215911260536326,Adj. ≥1%,1429,0.0707
log_GFCF,0.014707023273659567,0.011750330419232962,1.251626358488361,-0.008323201154482474,0.037737247701801604,0.21070604529848203,Adj. ≥1%,1429,0.0707
Political stability — estimate,0.012579599358253734,0.011491251717560458,1.0947109738297793,-0.009942840145448802,0.03510203886195627,0.2736432794201624,Adj. ≥1%,1429,0.0707
Rule of law index,0.08616323025851885,0.029455974962367466,2.925152888967341,0.028430580202765045,0.14389588031427267,0.0034428702770044695,Adj. ≥1%,1429,0.0707
log_Production_Value,-0.017859241394444947,0.005098369583712835,-3.5029318885586043,-0.02785186215839657,-0.007866620630493322,0.00046016711439203647,Adj. ≥1%,1429,0.0707
Trade (% of GDP),0.0001111026544883724,0.00022168126722006156,0.5011819712221399,-0.0003233846453101479,0.0005455899542868927,0.6162430613556207,Adj. ≥1%,1429,0.0707
Hydrocarbons_Dominant,0.029155647497253995,0.030455428670017902,0.9573218559210928,-0.03053589582970969,0.08884719082421769,0.3384048271209785,Adj. ≥1%,1429,0.0707
Subsoil_Metals_Dominant,-0.039686997575032405,0.032547947381023956,-1.2193394904580264,-0.10347980221254413,0.024105807062479327,0.2227153659185186,Adj. ≥1%,1429,0.0707
Precious_Metals_Dominant,0.011660982190766835,0.037173675640686646,0.31368924352489563,-0.06119808323795291,0.08452004761948657,0.7537570711426461,Adj. ≥1%,1429,0.0707
Access to electricity (% of population),0.002001666725735039,0.0006005251280499722,3.333193953490106,0.0008246591029457892,0.0031786743485242887,0.0008585506914886963,Adj. ≥1%,1429,0.0707
ECI_lag1,-0.1377110619215991,0.02802910834103256,-4.9131445869078965,-0.19264710478879415,-0.08277501905440406,8.962713022317097e-07,Adj. ≥1%,1429,0.0707
log_HCI_x_log_Production,0.007955280455866888,0.021108392663261675,0.3768776042200854,-0.033416408935655506,0.04932696984738928,0.7062645655736102,Adj. ≥1%,1429,0.0707
log_GFCF_x_log_Production,0.0072243417956421065,0.0070357132606465025,1.0268101510120768,-0.006565402800775909,0.021014086392060122,0.3045098685436647,Adj. ≥1%,1429,0.0707
