FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Coloso,port,-23.76,-70.45,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,2.78,kMT,8.17
Coquimbo,port,-29.96,-71.35,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.21,kMT,8.17
Mejillones,port,-23.1,-70.45,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.49,kMT,8.17
Patache,port,-20.8,-70.22,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.88,kMT,8.17
San Antonio,port,-33.59,-71.62,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.11,kMT,8.17
Ventanas,port,-32.74,-71.49,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,,0.84,kMT,8.17
Angamos,port,-23.1,-70.42,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.35,kMT,6.12
Antofagasta (ATI),port,-23.65,-70.4,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.28,kMT,6.12
Barquito,port,-27.07,-70.84,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.07,kMT,6.12
Caldera,port,-27.07,-70.82,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.5,kMT,6.12
Coloso,port,-23.76,-70.45,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,2.08,kMT,6.12
Coquimbo,port,-29.96,-71.35,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.16,kMT,6.12
Mejillones,port,-23.1,-70.45,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.37,kMT,6.12
Patache,port,-20.8,-70.22,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.66,kMT,6.12
San Antonio,port,-33.59,-71.62,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.08,kMT,6.12
Ventanas,port,-32.74,-71.49,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,,0.63,kMT,6.12
Angamos,port,-23.1,-70.42,China,country,31.23,121.47,port_to_country,concentrate,Copper,,142.42,kMT,2491.58
Antofagasta (ATI),port,-23.65,-70.4,China,country,31.23,121.47,port_to_country,concentrate,Copper,,114.3,kMT,2491.58
Barquito,port,-27.07,-70.84,China,country,31.23,121.47,port_to_country,concentrate,Copper,,30.44,kMT,2491.58
Caldera,port,-27.07,-70.82,China,country,31.23,121.47,port_to_country,concentrate,Copper,,203.76,kMT,2491.58
Coloso,port,-23.76,-70.45,China,country,31.23,121.47,port_to_country,concentrate,Copper,,848.52,kMT,2491.58
Coquimbo,port,-29.96,-71.35,China,country,31.23,121.47,port_to_country,concentrate,Copper,,65.27,kMT,2491.58
Mejillones,port,-23.1,-70.45,China,country,31.23,121.47,port_to_country,concentrate,Copper,,149.26,kMT,2491.58
Patache,port,-20.8,-70.22,China,country,31.23,121.47,port_to_country,concentrate,Copper,,269.62,kMT,2491.58
San Antonio,port,-33.59,-71.62,China,country,31.23,121.47,port_to_country,concentrate,Copper,,33.67,kMT,2491.58
Ventanas,port,-32.74,-71.49,China,country,31.23,121.47,port_to_country,concentrate,Copper,,257.38,kMT,2491.58
Angamos,port,-23.1,-70.42,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,10.53,kMT,184.23
Antofagasta (ATI),port,-23.65,-70.4,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,8.45,kMT,184.23
Barquito,port,-27.07,-70.84,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,2.25,kMT,184.23
Caldera,port,-27.07,-70.82,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,15.07,kMT,184.23
Coloso,port,-23.76,-70.45,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,62.74,kMT,184.23
Coquimbo,port,-29.96,-71.35,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,4.83,kMT,184.23
Mejillones,port,-23.1,-70.45,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,11.04,kMT,184.23
Patache,port,-20.8,-70.22,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,19.94,kMT,184.23
San Antonio,port,-33.59,-71.62,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,2.49,kMT,184.23
Ventanas,port,-32.74,-71.49,South Korea,country,37.57,126.98,port_to_country,concentrate,Copper,,19.03,kMT,184.23
Angamos,port,-23.1,-70.42,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,1.99,kMT,34.78
Antofagasta (ATI),port,-23.65,-70.4,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,1.6,kMT,34.78
Barquito,port,-27.07,-70.84,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,0.42,kMT,34.78
Caldera,port,-27.07,-70.82,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,2.84,kMT,34.78
Coloso,port,-23.76,-70.45,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,11.84,kMT,34.78
Coquimbo,port,-29.96,-71.35,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,0.91,kMT,34.78
Mejillones,port,-23.1,-70.45,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,2.08,kMT,34.78
