FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Angamos,port,-23.1,-70.42,USA,country,29.76,-95.37,port_to_country,concentrate,Molybdenum,
Angamos,port,-23.1,-70.42,USA,country,29.76,-95.37,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,USA,country,29.76,-95.37,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,United Kingdom,country,51.51,-0.13,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,United Kingdom,country,51.51,-0.13,port_to_country,iodine,Iodine,
Angamos,port,-23.1,-70.42,United Kingdom,country,51.51,-0.13,port_to_country,nitrate,Nitrate,
Angamos,port,-23.1,-70.42,Vietnam,country,10.82,106.63,port_to_country,cathode,Copper,
Angamos,port,-23.1,-70.42,Vietnam,country,10.82,106.63,port_to_country,concentrate,Molybdenum,
Angamos,port,-23.1,-70.42,Vietnam,country,10.82,106.63,port_to_country,lithium_compounds,Lithium,
Angamos,port,-23.1,-70.42,Vietnam,country,10.82,106.63,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Argentina,country,-34.6,-58.38,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Argentina,country,-34.6,-58.38,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Belgium,country,51.26,4.35,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Belgium,country,51.26,4.35,port_to_country,concentrate,Molybdenum,
Antofagasta (ATI),port,-23.65,-70.4,Belgium,country,51.26,4.35,port_to_country,lithium_compounds,Lithium,
Antofagasta (ATI),port,-23.65,-70.4,Belgium,country,51.26,4.35,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Brazil,country,-23.55,-46.63,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Brazil,country,-23.55,-46.63,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Brazil,country,-23.55,-46.63,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Brazil,country,-23.55,-46.63,port_to_country,borate,Boron,
Antofagasta (ATI),port,-23.65,-70.4,Brazil,country,-23.55,-46.63,port_to_country,nitrate,Nitrate,
Antofagasta (ATI),port,-23.65,-70.4,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Canada,country,49.28,-123.12,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Canada,country,49.28,-123.12,port_to_country,lithium_compounds,Lithium,
Antofagasta (ATI),port,-23.65,-70.4,China,country,31.23,121.47,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,China,country,31.23,121.47,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,China,country,31.23,121.47,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,China,country,31.23,121.47,port_to_country,concentrate,Molybdenum,
Antofagasta (ATI),port,-23.65,-70.4,China,country,31.23,121.47,port_to_country,lithium_compounds,Lithium,
Antofagasta (ATI),port,-23.65,-70.4,China,country,31.23,121.47,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Colombia,country,4.71,-74.07,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Colombia,country,4.71,-74.07,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,France,country,48.86,2.35,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,France,country,48.86,2.35,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Germany,country,53.55,9.99,port_to_country,cathode,Copper,
