Nitrate_Resource,COMMTYPE,LONGITUD,COMBINACION_CRITICO,CRITICO_3,Iodine_Resource,ESTADO_DEPOSITO,Molybdenum_Reserve,OPERATOR_NAME,ECAP,DDLAT,Rare Earths_Resource,COMUNA,Potassium_Reserve,ANNCAP,Titanium_Resource,OWNER_NAME,CRITICO_1,NOMBRE_DEPOSITO,OrdFranj,PROVINCIA,OPERATOR,FACTYPE,STATUS,OWNER,COUNTRY,ADM1,LOCACC,ELEVACION,LATITUD,YEAR,OTROS_NOMBRES,Lithium_Reserve,LOCDESC,PRIMARY_COMMODITY,DDLONG,Manganese_Resource,MIN_PROD,Copper_Reserve,SOURCEID,FACILITY_TYPE,OrdReg,ISO_CC,ID,MULTI_PROD,FACID_NUM,Iron_Reserve,REGION,Cobalt_Resource,Iron_Resource,FACILITY_NAME,UNITS,COMMODITY,Potassium_Resource,MODELO_DEPOSITO,Silver_Reserve,Zinc_Resource,MULTI_COMM,FACID,Gold_Resource,Boron_Resource,VALOR_DATO,ID_SIA_YACIMIENTO,ID_ATLAS_FAENA,Copper_Resource,Molybdenum_Resource,Lithium_Resource,Iodine_Reserve,SISTEMA_MINERAL,Boron_Reserve,SOURCE,COMB_CRIT_COD,ALL_COMMODITIES_RAW,FRANJA_METALOGENICA,Gold_Reserve,OTROS_CRITICOS,COMBOCAP,ROWID,OBJECTID,GRUPO_MODELO,CRITICO_2,LOCNAME,Nitrate_Reserve,Zinc_Reserve,REFERENCIA,CAPACITY_UNITS,Silver_Resource,COMMENTS,CRITICO_4,CAPACITY,N_COMMODITIES,COMMODITY_LIST_STR
,,-69.33932999999996,Plata-Oro,,,Prospecto/Proyecto,,,,,,Pozo Almonte,,,,,Plata,Challacollo,6,Tamarugal,,,Prospect/Project,,,,,,-20.89539999999994,,,,,Silver,,,,,,Prospect/Project,2,,44,,,,Tarapacá,,,Challacollo,,,,Epitermal de baja sulfuración,,,,,2.26931,,Actualizado,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_17, MIN_18",Plata-Oro,Cretácico Superior,,,,,44,Epitermales,Oro,,,,https://aftermathsilver.com/projects/cachinal/overview/,,1443.172,,,,2,"Silver, Gold"
,,-70.41888899999998,Plata,,,Mina paralizada,,,,,,Copiapó,,,,,Plata,Chañarcillo,6,Copiapó,,,Idle,,,,,,-27.81388899999996,,,,,Silver,,,,,,Mine (idle),4,,45,,,,Atacama,,,Chañarcillo,,,,Mesotermal,,,,,,,Sin información,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_18,Plata,Cretácico Superior,,,,,45,Mesotermal,,,,,,,,,,,1,Silver
,,-69.13599999999997,Cobre,,,Prospecto/Proyecto,,,,,,Antofagasta,,,,,Cobre,Chimborazo,8,Antofagasta,,,Prospect/Project,,,,,,-24.147999999999968,,,,,Copper,,,,,,Prospect/Project,3,,46,,,,Antofagasta,,,Chimborazo,,,,Pórfido de Cu-Mo,,,,,,,Actualizado,3084,,1161000.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_01,Cobre,Eoceno-Oligoceno,,,,,46,Pórfidos,,,,,https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpannualreport2024.pdf,,,,,,1,Copper
,,-69.91999999999996,Nitrato-Yodo,,,Mina paralizada,,,,,,Huara,,,,,Nitrato,Chiquinquira,11,Tamarugal,,,Idle,,,,,,-19.749999999999943,,,,,Nitrate,,,,,,Mine (idle),2,,47,,,,Tarapacá,,,Chiquinquira,,,,Campo de nitrato-yodo,,,,,,,Sin información,,,,,,,Sedimentario-Atmosférico,,Sernageomin_2025,"MIN_14, MIN_16",Nitrato-Yodo,Mioceno-Pleistoceno,,,,,47,Campo de nitrato-yodo,Yodo,,,,,,,,,,2,"Nitrate, Iodine"
,,-69.25799999999998,Oro-Plata,,,Mina paralizada,,,,,,Putre,,,,,Oro,Choquelimpie,9,Parinacota,,,Idle,,,,,,-18.30899999999997,,,,,Gold,,,,,,Mine (idle),1,,48,,,,Arica y Parinacota,,,Choquelimpie,,,,Epitermal de alta sulfuración,,,,,24.53,,Histórico,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_17, MIN_18",Oro-Plata,Mioceno,,,,,48,Epitermales,Plata,,,,http://www.andeangeology.cl/index.php/revista1/article/view/V48n1-3294,,,,,,2,"Gold, Silver"
,,-68.89499999999998,Cobre-Molibdeno-Renio,Renio,,Mina en producción,,Corporación Nacional del Cobre (CODELCO),,,,Calama,,,,"Government, 100%",Cobre,Chuquicamata,8,El Loa,,,Active,,,,,,-22.299999999999955,,,,,Copper,,,,7692300.0,,Mine (active),3,,49,,,,Antofagasta,,,Chuquicamata,,,,Pórfido de Cu-Mo,,,,,,,Actualizado,2763,,61713600.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04",Cobre-Molibdeno-Renio,Eoceno-Oligoceno,,,,,49,Pórfidos,Molibdeno,,,,https://www.codelco.com/prontus_codelco/site/docs/20250329/20250329202724/codelco_memoria_anual_2024.pdf,,,,,,3,"Copper, Molybdenum, Rhenium"
,,-69.30499999999995,Cobre-Cinc-Plata-Oro,Plata,,Prospecto/Proyecto,,,,,,Taltal,,,,,Cobre,Ciclón-Exploradora,8,Antofagasta,,,Prospect/Project,,,,,,-25.84299999999996,,,,,Copper,,,,,,Prospect/Project,3,,50,,,,Antofagasta,,,Ciclón-Exploradora,,,,Epitermal de sulfuración intermedia,,255530.0,,,2.222,,Actualizado,,,103020.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_12, MIN_17, MIN_18",Cobre-Cinc-Plata-Oro,Eoceno-Oligoceno,,,,,50,Epitermales,Cinc,,,,https://www.minmineria.cl/pdac/doctos_descarga/InvestChile_Portafolio_Mineria_ESP.pdf,,616.1,,Oro,,4,"Copper, Zinc, Silver, Gold"
,,-71.21299999999997,Cobre,,,Mina en producción,,,,,,Ovalle,,,,,Cobre,Cinabrio,5,Limarí,,,Active,,,,,,-30.71999999999997,,,,,Copper,,,,41949.47,,Mine (active),5,,51,,,,Coquimbo,,,Cinabrio,,,,Estratoligado,,,,,,,Actualizado,5626,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_18",Cobre,Cretácico Inferior,,Plata,,,51,Estratoligado,,,,,https://www.sernageomin.cl/planes-de-cierre/,,,,,,1,Copper
,,-68.70299999999997,Cobre-Molibdeno-Renio,Renio,,Mina en producción,862809.0,Compañía Minera Doña Inés de Collahuasi SCM ,,,,Pica,,,,"Anglo American plc, 44%; Glencore plc, 44%; companies led by Mitsui & Co. Ltd., 12%",Cobre,Collahuasi,8,Tamarugal,,,Active,,,,,,-20.972999999999956,,Doña Inés de Collahuasi,,,Copper,,,,32791190.0,,Mine (active),2,,52,,,,Tarapacá,,,Collahuasi,,,,Pórfido de Cu-Mo,,,,,,,Actualizado,2287,,48367870.0,1113394.0,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04",Cobre-Molibdeno-Renio,Eoceno-Oligoceno,,,,,52,Pórfidos,Molibdeno,,,,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2024/anglo-american-ore-reserves-and-mineral-resources-report-2024.pdf,,,,,,3,"Copper, Molybdenum, Rhenium"
,,-71.14899999999994,Oro,,,Mina en producción,,,,,,Quilpué,,,,,Oro,Colliguay,5,Marga Marga,,,Active,,,,,,-33.190999999999974,,,,,Gold,,,,,,Mine (active),6,,53,,,,Valparaíso,,,Colliguay,,,,Pórfido de Au,,,,,,,Sin información,7205,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_17,Oro,Cretácico Inferior,,,,,53,Pórfidos,,,,,,,,,,,1,Gold
