Lithium_Resource,ID_ATLAS_FAENA,COMMTYPE,COMMENTS,MULTI_PROD,OrdReg,MODELO_DEPOSITO,FRANJA_METALOGENICA,ECAP,Nitrate_Reserve,Cobalt_Resource,SISTEMA_MINERAL,Potassium_Reserve,COMB_CRIT_COD,SOURCE,ESTADO_DEPOSITO,CRITICO_4,NOMBRE_DEPOSITO,Potassium_Resource,Molybdenum_Reserve,YEAR,LATITUD,Silver_Resource,DDLAT,LOCACC,ISO_CC,Molybdenum_Resource,REGION,FACID_NUM,Nitrate_Resource,MULTI_COMM,OWNER,LOCNAME,Manganese_Resource,Zinc_Reserve,Titanium_Resource,OrdFranj,Boron_Reserve,UNITS,OPERATOR_NAME,Silver_Reserve,Copper_Reserve,Rare Earths_Resource,COMBOCAP,CAPACITY_UNITS,OTROS_NOMBRES,ID,CRITICO_2,LOCDESC,Iron_Resource,VALOR_DATO,CRITICO_3,COUNTRY,FACILITY_TYPE,OPERATOR,DDLONG,PRIMARY_COMMODITY,ROWID,LONGITUD,SOURCEID,FACILITY_NAME,OTROS_CRITICOS,STATUS,CAPACITY,ANNCAP,COMMODITY,Lithium_Reserve,Copper_Resource,Boron_Resource,FACID,Gold_Reserve,ADM1,Iodine_Resource,COMUNA,ELEVACION,Gold_Resource,CRITICO_1,Iron_Reserve,COMBINACION_CRITICO,MIN_PROD,OBJECTID,ID_SIA_YACIMIENTO,PROVINCIA,Iodine_Reserve,Zinc_Resource,GRUPO_MODELO,REFERENCIA,OWNER_NAME,FACTYPE,ALL_COMMODITIES_RAW,N_COMMODITIES
,,,,,2,Campo de nitrato-yodo,Mioceno-Pleistoceno,,,,Sedimentario-Atmosférico,,"MIN_14, MIN_16",Sernageomin_2025,Mina paralizada,,Calichera,,,,-19.869999999999948,,,,,,Tarapacá,,,,,,,,,11,,,,,,,,,,23,Yodo,,,Sin información,,,Mine (idle),,,Nitrate,,-69.85999999999996,,Calichera,,Idle,,,,,,,,,,,Huara,,,Nitrato,,Nitrato-Yodo,,23,,Tamarugal,,,Campo de nitrato-yodo,,,,Nitrato-Yodo,2
,,,,,4,Epitermal de alta sulfuración,Mioceno,,,,Magmático-Hidrotermal,,"MIN_17, MIN_18",Sernageomin_2025,Mina paralizada,,Can Can,,,,-26.802221999999972,,,,,,Atacama,,,,,,,,,9,,,,,,,,,,24,Plata,,,Histórico,,,Mine (idle),,,Gold,,-69.26305599999995,,Can Can,,Idle,,,,,,,,,,,Copiapó,,0.78,Oro,,Oro-Plata,,24,1302,Copiapó,,,Epitermales,http://www.andeangeology.cl/index.php/revista1/article/view/V48n1-3294,,,Oro-Plata,2
,,,,,3,Pórfido de Cu,Cretácico Inferior,,,,Magmático-Hidrotermal,,"MIN_01, MIN_03, MIN_04, MIN_17",Sernageomin_2025,Prospecto/Proyecto,,Canchas,,,,-25.458999999999946,,,,,15000.0,Antofagasta,,,,,,,,,5,,,,,,,,,,25,Molibdeno,,,Histórico,,,Prospect/Project,,,Copper,,-70.20699999999994,,Canchas,"Oro, Renio",Prospect/Project,,,,,63000.0,,,,,,Taltal,,,Cobre,,Cobre-Molibdeno,,25,,Antofagasta,,,Pórfidos,https://repositorio.sernageomin.cl/items/a8faf057-5764-4d2d-a6eb-5c9c152fbe50/full,,,Cobre-Molibdeno,2
,,,,,4,IOCG,Cretácico Inferior,,,,Magmático-Hidrotermal,,"MIN_01, MIN_15, MIN_17, MIN_18",Sernageomin_2025,Mina en producción,,Candelaria,,,,-27.51699999999994,2883.394,,,,,Atacama,,,,,,,,,5,,,Cía. Contractual Minera Candelaria ,933.168,2923927.0,,,,"Ojos del Salado, Alcaparrosa, Punta del Cobre",26,Oro,,,Actualizado,Plata,,Mine (active),,,Copper,,-70.29099999999994,,Candelaria,Hierro,Active,,,,,8702610.0,,,68.43232,,,Tierra Amarilla,,192.2894,Cobre,,Cobre-Oro-Plata,,26,"1066, 1077",Copiapó,,,IOCG,https://lundinmining.com/operations/reserves-and-resources/,"Lundin Mining Corp., 80%; Sumitomo Metal Mining Co. Ltd., 16%; Sumitomo Corp., 4%",,Cobre-Oro-Plata,3
,,,,,4,IOA,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_15,Sernageomin_2025,Mina paralizada,,Carmen,,,,-26.346089999999947,,,,,,Atacama,,,,,,,,,5,,,Compañía Minera Carmen de Andacollo ,,,,,,,27,,,,Histórico,,,Mine (idle),,,Iron,,-70.14299999999997,,Carmen,,Idle,,,,,,,,,,,Diego de Almagro,,,Hierro,,Hierro,,27,M-714,Chañaral,,,IOA,https://repositorio.uchile.cl/handle/2250/115255,"Teck Cominco Ltd., 90%, and Empresa Nacional de Minería (ENAMI) (Government, 100%), 10%",,Hierro,1
,,,,,5,Pórfido de Cu,Cretácico Inferior,,,,Magmático-Hidrotermal,,"MIN_01, MIN_17",Sernageomin_2025,Mina en producción,,Carmen de Andacollo,,,,-30.249999999999943,,,,,,Coquimbo,,,,,,,,,5,,,Compañía Minera Carmen de Andacollo ,,739040.0,,,,Andacollo,28,Oro,,,Actualizado,,,Mine (active),,,Copper,,-71.09999999999997,,Carmen de Andacollo,,Active,,,,,1201240.0,,,23.84,,,Andacollo,,41.593,Cobre,,Cobre-Oro,,28,3294,Elqui,,,Pórfidos,https://www.teck.com/media/AIF-2025.pdf,"Teck Cominco Ltd., 90%, and Empresa Nacional de Minería (ENAMI) (Government, 100%), 10%",,Cobre-Oro,2
,,,,,6,Estratoligado,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Mina en producción,,Carmen-Margarita,,,,-32.49199999999996,,,,,,Valparaíso,,,,,,,,,5,,,,,,,,,,29,,,,Actualizado,,,Mine (active),,,Copper,,-71.07099999999997,,Carmen-Margarita,,Active,,,,,25298.0,,,,,,Cabildo,,,Cobre,,Cobre,,29,5526,Petorca,,,Estratoligado,https://www.sernageomin.cl/planes-de-cierre/,,,Cobre,1
,,,,,4,Pórfido de Cu-Mo,Mioceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_03, MIN_04",Sernageomin_2025,Mina en producción,,Caserones,,88430.6,,-28.16599999999994,,,,,145128.3,Atacama,,,,,,,,,9,,,Minera Lumina Copper Chile (MILCC),,2564488.0,,,,Regalito,30,Molibdeno,,,Actualizado,Renio,,Mine (active),,,Copper,,-69.54099999999994,,Caserones,,Active,,,,,3990248.0,,,,,,Tierra Amarilla,,,Cobre,,Cobre-Molibdeno-Renio,,30,7219,Copiapó,,,Pórfidos,https://lundinmining.com/operations/reserves-and-resources/,"Pan Pacific Copper Co., 77.4%",,Cobre-Molibdeno-Renio,3
,,,,,4,Pórfido de Au,Mioceno,,,,Magmático-Hidrotermal,,"MIN_01, MIN_17, MIN_18",Sernageomin_2025,Prospecto/Proyecto,,Caspiche,,,,-27.68999999999994,932.2955,,,,,Atacama,,,,,,,,,9,,,,,,,,,Norte Abierto,31,Plata,,,Actualizado,Cobre,,Prospect/Project,,,Gold,,-69.29399999999998,,Caspiche,,Prospect/Project,,,,,1409800.0,,,,,,Tierra Amarilla,,389.5755,Oro,,Oro-Plata-Cobre,,31,991,Copiapó,,,Pórfidos,https://www.sedarplus.ca/landingpage/,,,Oro-Plata-Cobre,3
,,,,,3,IOCG,Cretácico Inferior,,,,Magmático-Hidrotermal,,MIN_01,Sernageomin_2025,Prospecto/Proyecto,,Casualidad,,,,-25.74599999999998,,,,,,Antofagasta,,,,,,,,,5,,,,,,,,,Corea,32,,,,Histórico,,,Prospect/Project,,,Copper,,-69.96499999999997,,Casualidad,,Prospect/Project,,,,,1500000.0,,,,,,Taltal,,,Cobre,,Cobre,,32,2703,Antofagasta,,,IOCG,https://repositorio.sernageomin.cl/items/5eb51a48-20a0-4dab-ba29-e86c55d1fed2,,,Cobre,1
