NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
Minera Florida concentration plant,plant,Concentrator,Active,,Minera Florida S.A. ,-34.0348,-71.0265,7,0.02473,0.00824,0.0,0.09264,10
Los Bronces Plants,plant,Processing Plant,Active,,Anglo American Sur S.A. ,-33.1462,-70.2863,5,0.01767,0.00053,0.0,0.11187,10
Ventanas refinery and smelter,plant,Smelter,Active,,Corporación Nacional del Cobre (CODELCO),-32.7618,-71.4812,13,0.04594,0.02932,0.0,0.11234,10
Franke SX-EW Plant,plant,SX-EW Plant,Active,,Sociedad Contractual Minera Franke ,-25.8334,-69.8639,24,0.08481,0.12876,0.00112,0.19163,11
Potrerillos SX-EW refinery and smelter,plant,Smelter,Active,,Corporación Nacional del Cobre (CODELCO),-26.283,-69.5965,23,0.08127,0.03265,5e-05,0.17484,11
José Antonio Moreno,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-25.3963,-70.4742,19,0.06714,0.02506,3e-05,0.18994,11
Osvaldo Martínez,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-26.4196,-70.3172,25,0.08834,0.0072,4e-05,0.17541,11
Mantoverde SX-EW plant,plant,SX-EW Plant,Active,,Empresa Minera de Mantos Blancos S.A. ,-26.5615,-70.3253,25,0.08834,0.01616,5e-05,0.17541,11
José Antonio Moreno plant,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-25.3963,-70.4742,12,0.0424,0.12525,0.0,0.18378,12
Osvaldo Martínez plant,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-26.4196,-70.3172,15,0.053,0.10111,1e-05,0.1896,11
El Peñón concentration plant,plant,Concentrator,Active,,Minera Meridian Ltda. ,-24.4116,-69.4969,11,0.03887,0.08651,0.0,0.16882,12
Los Pelambres plant,plant,Processing Plant,Active,,Antofagasta plc,-31.8134,-70.5823,17,0.06007,0.0423,0.0,0.14081,10
Plant at Cabildo,plant,Processing Plant,Active,,Compañía Minera Cerro Negro,-32.5838,-70.8762,25,0.08834,0.00396,0.0,0.13283,10
Chagres smelter (anodes and blister),plant,Smelter,Active,,Empresa Nacional de Minería (ENAMI),-32.8047,-70.9554,25,0.08834,0.01123,0.0,0.11412,10
El Soldado SX-EW plant,plant,SX-EW Plant,Active,,Anglo American Sur S.A. ,-32.6593,-71.1448,25,0.08834,0.04729,0.0,0.13283,10
Tres Valles SX-EW plant,plant,SX-EW Plant,Active,,Vecchiola SA,-31.7364,-71.0165,25,0.08834,0.14854,0.0,0.14192,10
Los Bronces (Tortolas) SX-EW plant (cathodes),plant,SX-EW Plant,Active,,Anglo American Sur S.A. ,-33.1409,-70.7086,26,0.09187,0.02723,0.0,0.11449,10
Tortolas molybdenum flotation plant,plant,Concentrator,Active,,Anglo American Sur S.A. ,-33.1409,-70.7086,11,0.03887,0.00257,0.0,0.11269,10
Las Ventanas refinery and smelter,plant,Smelter,Active,,Corporación Nacional del Cobre (CODELCO),-32.7618,-71.4812,23,0.08127,0.00759,0.0,0.11388,10
Nos plant,plant,Processing Plant,Active,,Molibdenos y Metales S.A. (MOLYMET),-33.6065,-70.7441,5,0.01767,0.00013,0.0,0.1105,10
El Teniente plant,plant,Processing Plant,Active,,Corporación Nacional del Cobre (CODELCO),-34.0886,-70.4555,9,0.0318,0.00058,0.0,0.11187,10
"Caletones smelter (anodes). refinery (fire-refined ingots), and SX-EW plant",plant,Smelter,Active,,Corporación Nacional del Cobre (CODELCO),-34.1046,-70.4505,15,0.053,0.00581,0.0,0.11305,10
Facilities near Rancagua,plant,Processing Plant,Active,,Minera Valle Central S.A. ,-34.2383,-70.685,14,0.04947,0.0104,0.0,0.11293,10
Antucoya SX-EW plant,plant,SX-EW Plant,Active,,Antofagasta plc,-22.6298,-69.8832,33,0.11661,0.00321,0.0,0.14459,8
Michilla SX-EW/sulfide-leaching plant,plant,SX-EW Plant,Active,,Minera Michilla S.A. ,-22.6791,-70.1883,29,0.10247,0.00246,0.0,0.14324,8
Mantos de la Luna SX-EW plant,plant,SX-EW Plant,Active,,Compania Mantos de la Luna,-22.3851,-70.1782,30,0.10601,0.09315,0.0,0.14401,8
Spence SX-EW plant,plant,SX-EW Plant,Active,,Minera Spence S.A. ,-22.8015,-69.2818,34,0.12014,0.0004,0.0,0.14478,8
Plant near Tocopilla,plant,Processing Plant,Active,,Minera Capacho Viejo Ltda. ,-21.9459,-69.8715,26,0.09187,0.00995,0.0,0.13618,8
El Tesoro SX-EW plant,plant,SX-EW Plant,Active,,Minera El Tesoro S.A. ,-22.9277,-69.0976,39,0.13781,0.00105,0.0,0.14576,8
Centinela oxide and sulfide plant,plant,Processing Plant,Active,,Antofagasta plc,-22.9275,-69.0965,39,0.13781,0.01163,0.0,0.14576,8
Mantos Blancos SX-EW plant,plant,SX-EW Plant,Active,,Empresa Minera de Mantos Blancos S.A. ,-23.4397,-70.0734,27,0.09541,0.00363,0.0,0.14155,8
Lomas Bayas SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Xstrata Lomas Bayas ,-23.4318,-69.5017,33,0.11661,0.00474,2e-05,0.14401,14
Chuquicamata SX-EW plant (oxide) and smelter,plant,Smelter,Active,,Corporación Nacional del Cobre (CODELCO),-22.3137,-68.8895,30,0.10601,0.0002,0.0,0.14459,8
Chuquicamata Mine (plant to acid-leach fine copper),plant,Processing Plant,Active,,EcoMetales Ltd. ,-22.3013,-68.8404,31,0.10954,0.03854,0.0,0.14478,8
Radomiro Tomic SX-EW plant,plant,SX-EW Plant,Active,,Corporación Nacional del Cobre (CODELCO),-22.1927,-68.8674,30,0.10601,0.01697,0.0,0.14459,8
Altonorte smelter,plant,Smelter,Active,,Glencore Copper Chile S.A. ,-23.8247,-70.3178,22,0.07774,0.07997,0.0,0.16673,8
Gabriela Mistral SX-EW plant,plant,SX-EW Plant,Active,,Minera Gaby S.A. ,-23.4173,-68.7838,28,0.09894,0.00506,1e-05,0.14305,8
Al Elbra SX-EW plant,plant,SX-EW Plant,Active,,Sociedad Contractual Minera El Abra ,-21.9859,-68.6886,21,0.0742,0.00782,0.0,0.14286,8
Vallenar plant,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-28.5652,-70.7387,25,0.08834,0.15134,0.0,0.1873,2
Manuel Antonio Matta,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-27.4131,-70.2517,22,0.07774,0.00652,0.0,0.17541,11
Hernán Videla Lira smelter (anodes and blister),plant,Smelter,Active,,Empresa Nacional de Minería (ENAMI),-27.4198,-70.2577,22,0.07774,0.01804,0.0,0.17541,11
Biocobre refinery,plant,Refinery,Active,,Sociedad Punta del Cobre S.A (Pucobre),-27.5734,-70.2484,22,0.07774,0.20861,0.0,0.19163,11
Huasco concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-28.2907,-70.8125,9,0.0318,0.00987,0.0,0.15633,5
Los Colorados concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-28.291,-70.8129,9,0.0318,0.01243,0.0,0.15633,5
Huasco pellet plant,plant,Pellet Plant,Active,,Compañía Minera del Pacífico S.A. (CMP),-28.4808,-71.2485,8,0.02827,0.009,0.0,0.1561,5
Magnetite plant to process tailings from the Candelaria Mine and other iron-bearing raw materials from third parties,plant,Processing Plant,Active,,Compañía Minera del Pacífico S.A. (CMP),-27.5218,-70.3192,8,0.02827,0.04498,0.0,0.16908,5
El Algarrobito concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-28.8028,-70.9839,8,0.02827,0.0006,0.0,0.1561,5
SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Carmen de Andacollo ,-30.261,-71.0917,20,0.07067,0.07909,0.0,0.16221,2
Plant near Coquimbo (Region IV),plant,Processing Plant,Active,,Compañía Minera San Gerónimo,-29.8353,-71.1035,22,0.07774,0.21582,0.0,0.17343,2
Quebrada Blanca SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Quebrada Blanca ,-21.0027,-68.7964,14,0.04947,0.00243,0.0,0.11522,6
Collahuasi SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Doña Inés de Collahuasi SCM ,-20.9779,-68.6315,13,0.04594,0.0111,0.0,0.1151,6
Zaldívar SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Zaldívar ,-24.201,-69.0689,16,0.05654,0.0308,8e-05,0.1652,13
Escondida oxide plant for cathode production (SX-EW),plant,SX-EW Plant,Active,,Minera Escondida Ltda. ,-24.2536,-69.1008,15,0.053,0.0,5e-05,0.16494,13
Escondida concentrator,plant,Concentrator,Active,,Minera Escondida Ltda.,-24.2628,-69.0581,22,0.07774,0.11307,7e-05,0.16699,13
Escondida sulfide-leach plant for cathode production,plant,Processing Plant,Active,,Minera Escondida Ltda. ,-24.2601,-68.9925,15,0.053,0.02223,4e-05,0.16494,13
Plant near Iquique,plant,Processing Plant,Active,,Cosayach Nitratos S.A. ,-20.223,-69.7966,9,0.0318,0.00048,0.02201,0.03289,0
Nueva Victoria plant,plant,Processing Plant,Active,,SQM Químicos S.A. ,-20.9592,-69.6633,9,0.0318,0.0,0.52414,0.03289,0
Iris Plant,plant,Processing Plant,Active,,SQM Químicos S.A. ,-20.9622,-69.6625,9,0.0318,0.00068,0.47412,0.03289,0
Manuel Antonio Matta plant,plant,Processing Plant,Active,,Empresa Nacional de Minería (ENAMI),-27.4131,-70.2517,20,0.07067,0.04143,0.0,0.17484,11
Dos Amigos SX-EW plant,plant,SX-EW Plant,Active,,CEMIN,-28.9869,-70.8859,20,0.07067,0.01348,0.0,0.16494,2
Esperanza milling/flotation plant,plant,Concentrator,Active,,Minera Esperanza S.A. ,-22.9998,-69.1036,12,0.0424,0.01897,0.0,0.14063,8
Cerro Bayo concentration plant,plant,Concentrator,Active,,Compañía Minera Cerro Bayo Ltda. ,-46.5463,-71.9995,1,0.00353,0.0,0.0,0.00471,1
Concentration plant,plant,Concentrator,Active,,Compañía Minera Cerro Bayo Ltda. ,-46.5463,-71.9995,1,0.00353,0.0,0.0,0.00471,1
Cerro Colorado SX-EW plant,plant,SX-EW Plant,Active,,Compañía Minera Cerro Colorado ,-20.0624,-69.2663,8,0.02827,0.00586,0.0,0.11153,6
La Cascada SX-EW plant,plant,SX-EW Plant,Active,,Haldeman Mining Company S.A. ,-20.1873,-69.3329,9,0.0318,0.00043,0.0,0.11164,6
Collahuasi plants,plant,Processing Plant,Active,,Compañía Minera Doña Inés de Collahuasi SCM ,-20.9761,-68.6272,4,0.01413,0.0123,0.0,0.11364,6
Molybdenum plant,plant,Processing Plant,Active,,Compañía Minera Doña Inés de Collahuasi SCM ,-20.9761,-68.6272,9,0.0318,0.01108,0.0,0.11461,6
El Romeral concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-29.7282,-71.2317,6,0.0212,0.0,0.0,0.15565,5
El Romeral pellet-feed plant,plant,Pellet Plant,Active,,Compañía Minera del Pacífico S.A. (CMP),-29.7308,-71.2325,6,0.0212,0.00476,0.0,0.15565,5
Plant in Coquimbo city,plant,Processing Plant,Care & Maintenance,,Manganesos Atacama S.A. ,-29.9512,-71.2918,4,0.01413,0.00616,0.0,0.14362,2
El Laco concentration plant,plant,Concentrator,Active,,Compañía Minera del Pacífico S.A. (CMP),-23.8435,-67.4856,1,0.00353,0.0,0.0,0.00353,3
Doña Rosa concentration plant,plant,Concentrator,Active,,Sociedad Contractual Minera El Toqui Ltda. ,-45.0341,-71.9341,2,0.00707,3e-05,0.0,0.00707,4
Coya Sur plant,plant,Processing Plant,Active,,SQM Nitratos S.A. ,-22.3962,-69.6207,4,0.01413,0.00023,0.0,0.0186,9
Maria Elena plant,plant,Processing Plant,Active,,SQM Nitratos S.A. ,-22.3367,-69.6595,4,0.01413,1e-05,0.0,0.0186,9
María Elena plant,plant,Processing Plant,Active,,SQM Químicos S.A. ,-22.3367,-69.6595,4,0.01413,1e-05,0.0,0.0186,9
Boric acid and agrochemical plants,plant,Processing Plant,Active,,Química Industrial del Bórax Ltda. ,-18.4414,-69.879,2,0.00707,3e-05,0.0,0.00707,15
Mine brines of Atacama Salar,plant,Processing Plant,Active,,S.Q.M. Salar S.A. ,-23.4874,-68.3354,1,0.00353,0.0,0.0,0.00353,7
