excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),Inflation_roll5,RealRate_roll5,Resource_HHI,HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
KWT,-0.06858348653884562,0.04943535506057731,-0.02181155890890195,0.03939715408420972,0.006113315967222316,0.01732863767483067,0.012328054650812601,0.05798125134753529,-0.0033362055281258144,0.027193133026960456,-0.028555860814436614,-0.025786515805166527,-0.015602656359926801,-0.009640316472096146,-0.012053388629760456,0.07547106666804308,-0.028422412376075012,0.47481599677047526,0.002266634807114773,0.006867913123005752,-0.01499836402113369,-0.0040184653913586275,0.043956189170903937,-0.0028733710350104394
LAO,-0.06545271373077227,0.03616841032909646,-0.018203315092034364,0.04334335158506712,0.008439736779399413,0.017106806933477263,0.010507094956729933,0.06329472194893168,0.00597583755243814,0.03494029020252243,-0.022022112654504475,-0.018118897878609944,-0.01614596851360476,-0.006458910732435262,-0.006156728466734644,0.0888319968471637,-0.03508953824929839,0.47481924409466386,0.00930948970728114,0.003480453782527113,-0.01484271067530156,0.008259624406837952,0.03663889380588198,0.006431834495954437
LBR,-0.044935335314967045,0.031203044032093008,-0.011180463737927695,0.04939605985412687,0.009883431968411372,0.013271571422872582,-0.00027954837317050525,0.07243896932925034,0.007248709644259344,0.03673427294609591,-0.032112001473482844,-0.02450530468017526,-0.01684281265738481,-0.007347277152411767,-0.009178982565621491,0.07976908565293925,-0.03333360262635837,0.4675678648344908,-0.0037206046225549522,0.00952895831666594,-0.01386122933719312,0.005681020569691417,0.03621530905127713,-0.009304232948697623
LBY,-0.05426954104278319,0.03606660744958971,-0.01619070136920456,0.03805224660542305,0.002458595582122235,0.01137787923991645,0.008331363204953864,0.06637135033133745,-0.0009953092063639736,0.030240682993604398,-0.02057400129299981,-0.023046889545413903,-0.014846202675102158,-0.0027235246984797126,-0.00861114764075882,0.07643923532646679,-0.02658057577091532,0.48247213979550796,0.008474938113108982,0.00710071742678101,-0.01345561582186668,0.003752453077709449,0.038389313426193915,0.0025104631824284136
MDG,-0.0661594248838796,0.040208385003692074,-0.021452745691555253,0.04680156419513605,0.004358291203324457,0.013869597441764971,0.005694988320685617,0.06729170119066184,-0.0057706799804933765,0.032562984963963856,-0.022591606694608905,-0.022866400340345365,-0.015949535221304156,-0.0034885266182792937,-0.009362274964338108,0.07266032353390511,-0.02760773420100349,0.4765672032461723,7.197077583913113e-05,0.009116955298349862,-0.01109988405888033,0.005524222550769009,0.04063182366102681,0.00390848941723314
MLI,-0.06188164507574494,0.04675109336211108,-0.017366347702832692,0.03636756239314878,0.004610604461703156,0.012447731993569546,0.009748051982801145,0.06699632175462206,-0.006188608738867003,0.027437929937256432,-0.02401649304282464,-0.03003187248621376,-0.01521799848401425,-0.0045084450421536155,-0.008725210063307875,0.08807969343146416,-0.0260076190836538,0.4758748148876591,0.016269318031492855,0.007677338703463462,-0.011349317479131243,0.00808398938215041,0.03946931046711556,-0.00020133796032763003
MMR,-0.06076805589750879,0.036962476838662786,-0.018630327127226752,0.038719012459903536,0.0026337106196336426,0.015634833703848328,0.007034872494900956,0.06682859002857361,-0.0021716099316102474,0.031062838890109707,-0.023449307609347773,-0.017671790886524343,-0.01815146305985276,-0.006744448532862628,-0.009274468780093501,0.08252232161556707,-0.02898486195794328,0.47244216884136225,0.009264472851086069,0.006791090926694637,-0.013474724387516986,0.0010466214135513565,0.0400662577948346,0.0043221035181002475
MNG,-0.07423041350802394,0.04892781512112121,-0.01805532737924215,0.043536144913029304,0.006932253293328793,0.020710477121286812,0.01401488116701661,0.06802776438447695,0.0051685915081141655,0.02912222135592208,-0.019633934780537394,-0.02592159548671025,-0.014888321191473205,-0.009843040704031166,-0.012388633096064904,0.06598197831959425,-0.030369383231170704,0.4668120885223504,-0.013099479714959915,0.005264544782840973,-0.013902211277226385,-0.006298773987699897,0.04243495710371266,0.005238655440126306
MOZ,-0.0515232455738356,0.03339784009052017,-0.0175488622015714,0.040063500750552705,0.003759213955144963,0.01546464825490677,0.008828716177572757,0.06828604111633359,-0.0009325165147828004,0.030406308766900557,-0.024129694835854094,-0.022937226210583403,-0.013659497747901345,-0.007640924530081799,-0.010527914122861077,0.075712949504958,-0.031065507755534672,0.48036590055113954,0.008334902573608503,0.00760983455643057,-0.011636852059748366,0.0050677840356501734,0.03677212196237939,0.0022639719972184246
MWI,-0.056707626830065284,0.0381257237942664,-0.016003399812525645,0.040403530866816154,0.004295966660510911,0.014349641100166515,0.007059172630349239,0.06686229479154925,0.00027246888246658824,0.03167782887868633,-0.022894375100559985,-0.02241514690524309,-0.016874885538842276,-0.0004777972535327531,-0.008219889384729057,0.07697800973590309,-0.028585023904945463,0.4765004443467651,0.00763245110488908,0.006760788552112554,-0.015547191926948846,0.00497209498811089,0.03959951470225742,0.0001128366631143522
