excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
IRQ,-0.0,0.01239608629949284,0.0,0.0,-0.0,0.0,0.0,0.05625672446332184,-0.0,0.011702270934480612,-0.0,-0.0038647298811176137,-0.0,0.0,-0.0010214712835456487,0.025285715971766785,-0.0,0.5098499520067467,-0.0,0.017660516509746954,0.0
KAZ,-0.0,0.01043710151095305,0.0,0.0,-0.0,0.0,0.0,0.07008642128857238,-0.0,0.008983424717790693,-0.0,-8.396738375393231e-05,-0.0,0.0,-0.0,0.020826488132169224,-0.0,0.4853005670017098,-0.0,0.01288831204968627,0.0
KEN,-0.0,0.010107425607669297,0.0,0.0020671793175348857,-0.0,0.0,0.0,0.06892131204298035,0.0,0.009547197316395679,-0.0,-0.002869991390446434,-0.0,0.0,-0.0,0.029812806794235605,-0.0,0.48666348316170976,-0.0,0.0186772256239176,0.0
KWT,-0.0,0.01565825026408487,0.0,0.0,-0.0,0.0,-0.0,0.06481561232747389,0.0,0.009504213322964049,-0.0,-0.0029654340718460563,-0.0,0.0,-0.0,0.02013084645032547,-0.0,0.48973801316203586,-0.0,0.01621829770265938,0.0
LAO,-0.0,0.013095765937024346,0.0,0.0,-0.0,0.0,0.0,0.06934229304484085,0.0,0.008416216989774435,-0.0,-0.0017173682574783001,-0.0,0.0,-0.0,0.023082129590674367,-0.0,0.48925530143790774,-0.0,0.01552722568393734,0.0
LBR,-0.0,0.009965338425920534,0.0,0.0038712557056503373,-0.0,0.0,-0.0,0.07010388463143512,0.0,0.008994496858238403,-0.0,-0.0037758065268115753,-0.0,0.0,-0.0,0.027200625766682793,-0.0,0.4847794368673622,-0.0,0.011790252758453112,0.0
LBY,-0.0,0.012595352813138058,0.0,0.0,-0.0,0.0,-0.0,0.0675158683835982,0.0,0.00772953541134709,-0.0,-0.002444914667609555,-0.0,0.0,-0.0,0.02302642782915193,-0.0,0.4920825801342474,-0.0,0.014428253473601741,0.0
MDG,-0.0,0.013729951145942056,0.0,0.0,-0.0,0.0,-0.0,0.06960147651464396,0.0,0.008716409056843276,-0.0,-0.002495946409581827,-0.0,0.0,-0.0,0.022217014546212,-0.0,0.4893827287006666,-0.0,0.016588844207213325,0.0
MLI,-0.0,0.017086321404695588,0.0,0.0,-0.0,0.0,0.0,0.06904345451172189,-0.0,0.007660356869486689,-0.0,-0.0065421983050030445,-0.0,0.0,-0.0,0.0223165164513972,-0.0,0.48965905110327707,-0.0,0.015300375093606208,0.0
MMR,-0.0,0.011299485399278586,0.0,0.0,-0.0,0.0,-0.0,0.06887635644431227,-0.0,0.008638285750559744,-0.0,-0.0,-0.0,0.0,-0.0,0.023232390661858,-0.0,0.48289137360448015,-0.0,0.01419545829403454,0.0
MNG,-0.0,0.020660715766917238,0.0,0.006686893036832677,-0.0,0.0,0.0,0.07274085184232841,0.0,0.012959816184468492,-0.0,-0.007013936147417126,-0.0,0.0,-0.0,0.0230620633653199,-0.0,0.4854894512337533,-0.0,0.022454895226693597,0.0
MOZ,-0.0,0.012436054434530061,0.0,0.0013376564695212621,-0.0,0.0,0.0,0.06992187559882777,0.0,0.010071086185865883,-0.0,-0.003672533687547901,-0.0,0.0,-0.0,0.022175541358794997,-0.0,0.49161317032187213,-0.0,0.017042621485552297,0.0
MWI,-0.0,0.013097776112988992,0.0,0.0,-0.0,0.0,-0.0,0.06898880482769756,0.0,0.008511700469876196,-0.0,-0.002815808203548491,-0.0,0.0,-0.0,0.02244106886348749,-0.0,0.48862496655465837,-0.0,0.016886421215127255,0.0
MYS,-0.0,0.011367780972533935,0.0,0.0,-0.0,0.0,-0.0,0.05369299706611101,0.0,0.0074544993970355545,-0.0,-0.0023479757415386295,-0.0,0.0,-0.0,0.022290999531598295,-0.0,0.46450053370349176,-0.0,0.013161400422466248,0.0
NER,-0.0,0.017095181714403176,0.0,0.0,-0.0,0.0,0.0,0.06904162819958655,-0.0,0.009134009711025903,-0.0,-0.0,-0.0,0.0,-0.0,0.02166230896725059,-0.0,0.49023209375198695,-0.0,0.012651975999064051,0.0
NGA,-0.0,0.011263666443565645,0.0,0.005377603944060787,-0.0,0.0,-0.0,0.07347100033615918,0.0,0.026310595416249565,-0.008097927695588415,-0.01007319659199806,-0.0,0.0,-0.0,0.02805712875565423,-0.0,0.46674467352523935,-0.0,0.017730878049213562,0.0
OMN,-0.0,0.012981060556707875,0.0,6.871488300106594e-06,-0.0,0.0,-0.0,0.06982865509187977,0.0,0.00874395188554992,-0.0,-0.00261210412325174,-0.0,0.0,-0.0,0.02246041195243973,-0.0,0.4907809602099803,-0.0,0.0152858322369552,0.0
