excluded_country,const,log_HCI,log_GFCF,Political stability — estimate,Rule of law index,log_Production_Value,Forestry rents (% of GDP),Trade (% of GDP),log_HCI_x_log_Production,log_GFCF_x_log_Production,log_HCI_x_forestry_rents,log_GFCF_x_forestry_rents
LBR,-2.727117708463677,1.540092207618323,0.12525912272999923,0.03603868129449418,0.3591905553675911,-0.045945252661303795,-0.04008216269358081,0.0012258821268416012,0.22346361722515853,0.017950259723668507,-0.0891510818625585,0.002851567427841163
LBY,-2.9772346548545947,1.6710830183831071,0.13743532670829312,0.01614250062029095,0.379641149575427,-0.04102446470936385,-0.026180816919749664,0.0010844797367220167,0.26300713378121604,0.011076462601922896,-0.07656335952012124,0.013226922228708518
MDG,-2.856293583596244,1.6418616014861265,0.14038703465607366,0.039099996806467106,0.307943255206548,-0.04731650237363433,-0.02745410391201769,0.0009379128243742114,0.2514592532281587,0.02592518344866481,-0.07221217303775031,0.013672499117194453
MLI,-3.0708668261119554,1.747513663026031,0.14828243116337986,0.019587727068185182,0.3465510208990122,-0.04392558394424045,-0.026334241663223054,0.0011179871919733042,0.22452041823887608,0.023599799974434094,-0.09008941206329253,0.014354788166573016
MMR,-2.920780970967785,1.6219110525532485,0.151920721361209,0.022839922059076888,0.3417691388165966,-0.04266620664325026,-0.026926558768489612,0.0010675985051229837,0.2372419221138403,0.018518695337339325,-0.07963676289453875,0.012655218256721489
MNG,-2.9765768166558244,1.7042275593918486,0.16255256765054282,0.05306951659256448,0.3792916624022636,-0.054215317789983807,-0.03290498531713112,0.001575921413121838,0.1998424946315137,0.012024865379578836,-0.11004288008998145,0.008758575346517194
MOZ,-2.899106633671873,1.5986012589313285,0.15062275242378784,0.028082108117035962,0.3508896999655846,-0.04143753059452626,-0.02754549070401805,0.001010410570600885,0.23031614040163134,0.020273937563720305,-0.08998569351702099,0.014391928018987027
MWI,-2.876389663621305,1.668355764595251,0.13394955043207196,0.03479020771623412,0.3561496219116404,-0.04928173573992463,-0.026667726535661865,0.0009285045895566034,0.23834241674215118,0.032718521285601876,-0.07109335797514339,0.013486289916036098
MYS,-2.468279158804418,1.3663161252710339,0.13243503927679634,0.03796685685421264,0.3337378862638214,-0.024591020406236636,-0.03306052815774245,-0.0019015694172982785,0.1705187673136011,0.02602870836423024,-0.12465685047617175,0.016079711205459604
NER,-2.9688993544239923,1.6727311167133891,0.1457834893897842,0.027056711421096693,0.33547604994734226,-0.040274016365604334,-0.02638489271501655,0.000969665230290409,0.20232207734706856,0.02435706668368604,-0.08557864707994757,0.013801075336394684
NGA,-2.8652062788537784,1.567021275360575,0.1497982682233805,0.007328234550072487,0.36310535107696995,-0.03627856746651889,-0.027793731764103335,0.000652237803180053,0.22835813039671768,0.02190753338260237,-0.08018272052566973,0.01477250149029929
OMN,-2.9505032136867664,1.638594544678917,0.14969816531457875,0.02439086349281281,0.35256427030370663,-0.04042405464134328,-0.02658250282160969,0.0009564920222388135,0.24203080129708207,0.022611578411267323,-0.07933920187380052,0.013573949329647065
PNG,-2.8155711059426896,1.617521386620233,0.09206144370717712,0.02630859413132661,0.40410749544139296,-0.0372567674003405,-0.02586621880892142,0.0012779888345299168,0.23814013355402192,0.014072649728871775,-0.06920274407305908,0.010302650876962085
QAT,-2.943483106214336,1.6430829166395222,0.1472780498386228,0.02912730999944177,0.34160394384003595,-0.03947090379943944,-0.026103659868400388,0.0008847030087927574,0.25198199779482233,0.02070737849165815,-0.07551613915781888,0.01323721259902322
RUS,-2.680524235967921,1.3699054532332966,0.14774900940816177,0.05019163355567647,0.3987854363928826,-0.04123722645747373,-0.026330348859302053,0.0014266210618265746,0.16767548968415902,0.028667699274091483,-0.08209838497663038,0.013220549586161721
RWA,-2.9300847538178947,1.634562601522878,0.14765728884102539,0.02703962339717169,0.34537877871051464,-0.040924480547814446,-0.026790429260246065,0.0009276115850149672,0.2380267260879455,0.020274034515565153,-0.08066732229830774,0.013332397757175755
SAU,-2.9185222603301426,1.6353924186481978,0.14982280441478643,0.02432407046338588,0.39960897169507675,-0.056135935694844104,-0.028427115657548123,0.0014715126422713179,0.19959649361051848,0.016359129118246482,-0.08940441031037416,0.01250289557133764
TCD,-2.8770577991823223,1.602619051034466,0.14641990977500569,0.02814006857635628,0.3218333045387264,-0.03549436445413172,-0.025531722158840357,0.0005970853673911708,0.21390059163705405,0.0213335416964417,-0.07853244237964271,0.013792007398195472
TGO,-2.9323557053583613,1.631467272547039,0.14689164944667177,0.024329533403362334,0.3567473865601445,-0.0409512996392907,-0.027450996128774195,0.0009416868584639106,0.23942617205881164,0.02063147720686117,-0.08264096081670486,0.013305008687016942
TTO,-3.0230347345349617,1.6686493385237184,0.14686664122157805,0.014581756107042813,0.39378885400924907,-0.03801942205669509,-0.02573333986522355,0.001066035865650247,0.2725548636929951,0.019944615888420655,-0.07199054070529311,0.013157602530091704
TZA,-2.9220896155160947,1.6322209441939457,0.14594898761337122,0.02352196765283136,0.3670468310551703,-0.04185539229576894,-0.026727642392172672,0.0008705239834212384,0.24724618215649802,0.021717967203456548,-0.07679908331606132,0.013525636686047006
UGA,-2.8756776202235694,1.5698583322842732,0.14712769102469753,0.026225363598878587,0.34621518936089046,-0.03876064683196593,-0.02972622295979643,0.0010288617860230581,0.23824181424771407,0.020567167980925623,-0.09345404462187597,0.014217290473350078
UZB,-2.9916819951100346,1.6580174231096048,0.15384385056580913,0.025816913094481857,0.3727323443888348,-0.04159338614440021,-0.025663751056043817,0.0009765807589151177,0.2474088250651962,0.01778797019998369,-0.07513752779751422,0.011605683387957914
VEN,-2.9477651490428483,1.670007091055204,0.13543618096063703,0.02976718897836638,0.3294714940733937,-0.043060428335455744,-0.025408527686987693,0.0011738300957540668,0.2613541017282389,0.016466830078729077,-0.0750090364257145,0.014365441843614164
VNM,-2.937155629337289,1.622489301077508,0.1451104523470539,0.020755182251308492,0.36302471552155935,-0.03528389238921147,-0.02484425368075216,0.0005686754052991259,0.2532390993672014,0.02262170723885039,-0.07227001132466762,0.01437733435478937
YEM,-2.933723936372909,1.6360572245421308,0.15164906859067917,0.023074059054421163,0.3422619923579457,-0.041988226639138544,-0.02730781679747558,0.0009320088048914775,0.2450234919465716,0.017281149329396707,-0.07653299276829895,0.011920117991020102
ZMB,-2.9257130111666725,1.626540799851691,0.15006618611164926,0.02552505256645716,0.3383333566641415,-0.0413988074426155,-0.027517607477484027,0.0009532161224308662,0.23942316385880227,0.02069991724947577,-0.08416837827415583,0.013889780749535757
ZWE,-2.9185883752205943,1.6003160132219654,0.15739600229437956,0.03427975406166191,0.33273245420530395,-0.038628014352698505,-0.026877119276532732,0.0007922555960939925,0.25246221811907515,0.013749268359081458,-0.08155709952751346,0.012317145391770657
