Country Code,Country Name,Year,Last_Known_ECI,Ensemble,LASSO,Ridge,Elastic Net,Random Forest,XGBoost,LASSO (Δ),Ridge (Δ),Elastic Net (Δ),Random Forest (Δ),XGBoost (Δ)
LAO,Lao PDR,2029,-0.805,-0.8388747441184087,-0.6117150403183432,-0.8959466432918348,-0.6124542295784134,-0.8359402592644618,-0.80210876,-0.6856143938174358,-0.8997492574443415,-0.6774412449676029,-1.1680522183726267,-1.1997254
LAO,Lao PDR,2030,-0.805,-0.8337391996253247,-0.5878255365948521,-0.9160676044769352,-0.5867790593498438,-0.8359402592644618,-0.79622006,-0.6655310213781667,-0.9189376483841287,-0.6565111319501675,-1.1848058002233446,-1.1887739
LBR,Liberia,2020,-0.849,-0.880395022453456,-0.8651422191526759,-0.9295620864177798,-0.8780226925425588,-0.8720110864842018,-0.9160342,-0.8565191983848686,-0.8914647760948909,-0.8591409493627029,-0.8757053658522683,-0.8603476
LBR,Liberia,2021,-0.849,-0.8956894611095082,-0.874923278173419,-0.9888389506012456,-0.8958471036197317,-0.8720110864842019,-0.9205126,-0.861603588063626,-0.9246926530294599,-0.8664135169417756,-0.8899190894474305,-0.8621327
LBR,Liberia,2022,-0.849,-0.9063450822644178,-0.8797685411177836,-1.0318371565931725,-0.9051336864219373,-0.8720110864842019,-0.9208393,-0.864572251650287,-0.9498746574587092,-0.8711587182992183,-0.9023028039569428,-0.8659526
LBR,Liberia,2023,-0.849,-0.9174409322124772,-0.8807764174045092,-1.0622388471497146,-0.907846453275085,-0.8720110864842019,-0.9591085,-0.865702455860019,-0.9680006884670657,-0.8736724494385447,-0.9148735738678674,-0.8701789
LBR,Liberia,2024,-0.849,-0.9224394556820421,-0.8787933597321009,-1.0827521021357969,-0.9054352866391321,-0.8720110864842019,-0.97583115,-0.8652351314987118,-0.9798934817953568,-0.8742114565457109,-0.9250421274876084,-0.8651894
LBR,Liberia,2025,-0.849,-0.9241403043558293,-0.8744716587297021,-1.0953686141718522,-0.8989705255949286,-0.8720110864842019,-0.980736,-0.8633796352978123,-0.9862368385601658,-0.8729985158773081,-0.9363889965629637,-0.86084116
LBR,Liberia,2026,-0.849,-0.921238485525881,-0.8683139804832258,-1.1015531995454895,-0.8892423209165092,-0.8720110864842018,-0.9636939,-0.8603178877088807,-0.987599087015434,-0.8702269283009462,-0.944436025280807,-0.8549904
LBR,Liberia,2027,-0.849,-0.9155681062045439,-0.8607076878990794,-1.1023831764806307,-0.8768339814420523,-0.8730915703551696,-0.94379985,-0.856207968438584,-0.9844525823480649,-0.8660644191657729,-0.9465590659269181,-0.84558076
LBR,Liberia,2028,-0.849,-0.907794069369614,-0.8519512893219976,-1.0986508727015185,-0.8621761201784398,-0.8743696428670289,-0.91500366,-0.8511872407874504,-0.9771899135610638,-0.8606565221835337,-0.9494366567160799,-0.8373188
LBR,Liberia,2029,-0.849,-0.89997946963784,-0.8422748202830096,-1.090939015956244,-0.8455866262944265,-0.8743696428670286,-0.8989619,-0.8453750665428328,-0.9661373735152987,-0.8541295155904162,-0.9528997996548567,-0.82912093
LBR,Liberia,2030,-0.849,-0.8953979704843678,-0.8318555500158544,-1.0796761809595443,-0.8273001734343208,-0.8743696428670286,-0.90393835,-0.8388751650841091,-0.9515661542977576,-0.8465929698271341,-0.972574942595751,-0.8272306
LBY,Libya,2020,-1.425,-1.4069238396212969,-1.308573033110814,-1.4481073300061953,-1.2976937919777911,-1.4989940899116347,-1.4824132,-1.3620592708911925,-1.4359975842872699,-1.3619647129145667,-1.3999708021991968,-1.4734646
LBY,Libya,2021,-1.425,-1.427352589337412,-1.2250774119228742,-1.5092975593897813,-1.2160393745550069,-1.568911169585513,-1.6948276,-1.3108384073192172,-1.4730988849171764,-1.3113731376704285,-1.4138327227867673,-1.5502297
LBY,Libya,2022,-1.425,-1.4427083554659523,-1.1670486979263297,-1.6000896672177984,-1.1688038920255044,-1.587591980116362,-1.7768134,-1.2698015164141307,-1.5331070647152694,-1.2716808119292424,-1.4333218160614067,-1.6188247
LBY,Libya,2023,-1.425,-1.4692297330237778,-1.1287346697621008,-1.7142461761452505,-1.1476949725702699,-1.5985694335659903,-1.8249363,-1.2376139846551877,-1.613365133446478,-1.2415476202111972,-1.5208808124460025,-1.6647083
LBY,Libya,2024,-1.425,-1.5209531661242435,-1.1057025692903506,-1.8471796521902033,-1.1465909822803797,-1.6201640767844985,-1.8892941,-1.2131161001349933,-1.7116647843613435,-1.2198107568883134,-1.7000769759914305,-1.7559316
LBY,Libya,2025,-1.425,-1.5796778232846747,-1.094536438831482,-1.995516207260625,-1.1609727796444802,-1.620116535377422,-1.9830364,-1.1953001316360468,-1.8261706254304417,-1.205461266427406,-1.870391135979931,-1.8452767
LBY,Libya,2026,-1.425,-1.628703826846077,-1.0926038841738799,-2.1567744714005923,-1.187504222661354,-1.6201165353774223,-1.9814113,-1.1832904115030887,-1.9553572055802302,-1.1976236875790207,-2.003366844440248,-1.9089897
LBY,Libya,2027,-1.425,-1.6415837913578675,-1.0978763382405172,-2.3291294887460676,-1.2237224888182894,-1.6130069333296877,-1.9814113,-1.1763260286626587,-2.0979566752502516,-1.1955383908311634,-1.742262796621119,-1.9586074
LBY,Libya,2028,-1.425,-1.6928012335961455,-1.1087905532595226,-2.5112390717293587,-1.2678094616421558,-1.6130069333296877,-1.9814113,-1.173745789729073,-2.2529152854636747,-1.1985462527836248,-1.9138079384104039,-1.9067397
LBY,Libya,2029,-1.425,-1.7502862654578955,-1.12414186431055,-2.7021160910163458,-1.318422962598849,-1.613006933329688,-1.9801718,-1.174975150963228,-2.4193572328595923,-1.2060753582463764,-2.0059016380518107,-1.9586936
LBY,Libya,2030,-1.425,-1.7663589343558486,-1.1430019364255775,-2.9010345494768672,-1.374572162308606,-1.6130069333296877,-1.9801718,-1.1795148628032082,-2.596554610181304,-1.2176294617751173,-1.7512771275205685,-1.9068259
MDG,Madagascar,2020,-1.494,-1.3969650499738286,-1.3643746054262809,-1.3364630222788856,-1.353083562604533,-1.4484735602703456,-1.3805122,-1.4200094017247173,-1.3819929900288175,-1.4205189818569794,-1.4318414617293682,-1.4323807
MDG,Madagascar,2021,-1.494,-1.3140676992856146,-1.2621648386900832,-1.2177368995939897,-1.2465760667962842,-1.4325530756862284,-1.2345166,-1.3545299996817353,-1.2879974389589695,-1.3555270085425535,-1.3732484470565707,-1.3758266
MDG,Madagascar,2022,-1.494,-1.2457396936166578,-1.1810784891675161,-1.1274943453341821,-1.165441825928883,-1.4151004971427326,-1.1312163,-1.2964463983431103,-1.208914621087814,-1.2978968825182098,-1.315183450199124,-1.3186241
MDG,Madagascar,2023,-1.494,-1.192994525118515,-1.116266673945443,-1.0581400220063222,-1.1030104727091021,-1.3867284085625105,-1.1052835,-1.244789375192283,-1.142169089658511,-1.2466505450558958,-1.2626316144487586,-1.2642756
MDG,Madagascar,2024,-1.494,-1.152971091779362,-1.0639927626230894,-1.004087839690863,-1.054357777073648,-1.3850707457745388,-1.1031182,-1.1987167246949193,-1.0856203112280203,-1.2009393437740763,-1.2140609996730511,-1.2197462
