n_obs,r2,coef__const,se__const,coef__log_HCI,se__log_HCI,coef__log_GFCF,se__log_GFCF,coef__Political stability — estimate,se__Political stability — estimate,coef__Rule of law index,se__Rule of law index,coef__log_Production_Value,se__log_Production_Value,coef__Forestry rents (% of GDP),se__Forestry rents (% of GDP),coef__Trade (% of GDP),se__Trade (% of GDP),coef__log_HCI_x_log_Production,se__log_HCI_x_log_Production,coef__log_GFCF_x_log_Production,se__log_GFCF_x_log_Production,coef__log_HCI_x_forestry_rents,se__log_HCI_x_forestry_rents,coef__log_GFCF_x_forestry_rents,se__log_GFCF_x_forestry_rents,coef__ECI_lag1,se__ECI_lag1,b
1210,0.6552654166774141,-3.1067396250822132,0.18209760896938312,2.010629417340855,0.11666923460301015,0.15647826908618992,0.032120151497538975,0.007865776873877465,0.02672845336725793,0.4869215077671166,0.07747519520111801,-0.024120801677357247,0.0058337550155236955,-0.04098271400735784,0.008470155252323638,-1.372284840725057e-05,0.00048509345342560476,3.525372620064027e-05,0.03601268947369277,0.05336823420609049,0.016520655230783072,-0.13677960766738861,0.029264249326674388,-0.0009460053354266905,0.007387061474251295,0.26097878181113116,0.02040711336050649,116
1159,0.622473383400755,-3.348549103330627,0.20998528625514506,2.6507789672218958,0.14841123145799734,0.1677221164615795,0.03009641129219207,0.3213788771607608,0.03222483080508585,-0.1970618651407563,0.10321492989370663,-0.002167349617434349,0.006596180769607537,-0.06735861109537217,0.015558588811804039,-0.0016902767584935684,0.0006919528456772767,0.20019217413281426,0.03428907885020153,0.02445440090621208,0.010351706123173477,-0.14343276623045778,0.05628918149499835,-0.03676764389614298,0.009617572664107071,0.16834021991738166,0.0223199931177204,117
1295,0.6582250655389279,-4.310363466007801,0.2500013589119316,3.0709667390933144,0.17645867282959013,0.11257731254012573,0.025543326867301316,0.035705626915675616,0.03187860664100928,0.8434653098369067,0.0953122567883265,-0.0369729809352473,0.007132185960442597,-0.12783749062624433,0.017776483389802967,-0.0028446200382269745,0.0005528829356864159,-0.23213956266292005,0.04390427124244988,0.0004828496465568346,0.012083347285809946,-0.5367835132456631,0.056302272060584455,0.014151874999277092,0.01281512258753966,0.005551175730895495,0.018609496054519333,118
1239,0.5998517720145364,-2.8409432936867147,0.26255112497838573,2.566246009293137,0.1626170017060566,0.036311291848612245,0.06026321989216774,0.023567356340924814,0.029010464174633457,0.4314811142035253,0.09896659640440929,-0.028440690088337883,0.0083174133254086,-0.1366114565924578,0.017916681779491853,-0.00627530848001658,0.000694339520142189,0.046362747959146994,0.042251660248451846,0.06724666388569528,0.02344315916567545,-0.6773005610306225,0.10140290402343748,0.14776177878259747,0.03021104630177386,0.2485753249503982,0.020004035579304042,119
1228,0.5709993235784496,-2.903816533713061,0.23525292025002467,2.0536587265468773,0.15333702182781117,-0.007769224907915446,0.03813854415749898,-0.06943123282205321,0.030461942117088022,0.4208610929184647,0.0826403846668808,0.01701727489389608,0.00751889370686907,-0.07706112997308709,0.011091421120523953,-0.00017669898780320586,0.0008425444868803346,0.08894027797134688,0.03905842261253073,0.05515213115971423,0.015138773588040767,-0.28072404169047666,0.03666937854954094,0.05520836923778811,0.010239140679042521,0.355041794647603,0.023035759660327663,120
1359,0.7107789446738453,-4.081234601157819,0.19200908842539371,1.8729422257159183,0.14653387681814664,0.24401490534143994,0.0267994399001108,0.035331525498611044,0.028417532302177657,1.3655026953561369,0.08677555094113025,0.04059347493764046,0.00605732347842157,-0.09653727408286943,0.010224695831165243,0.001202764756200913,0.0004596602142132292,-0.05016968000894354,0.041039943025870516,0.09617024631307687,0.010099121468840282,-0.30803043501409777,0.044414143260393724,-0.006549242888369902,0.007629944046241682,0.07986064380057449,0.016607768064176937,121
1369,0.4735049409394143,-3.193716894203591,0.18583064715637926,1.6819595488906096,0.13036214520049558,0.0953970557981198,0.03623572319733672,0.0356499040633143,0.027692111026893375,0.9835108913657291,0.0984479233823483,-0.0021145851722074033,0.007126521838141616,-0.01209980579320432,0.009449269799822382,0.0017572714560831891,0.0005720514905467192,0.0973534378196353,0.04612570140998907,-0.03560520997489103,0.01588101495252232,-0.06433840621853804,0.04376608693761692,-0.032166508232199686,0.0136521594850834,0.022459731717692895,0.022462549877065762,122
1415,0.6695813773813437,-2.3343773271058095,0.18610980857893905,1.7520836260437964,0.12871795826052265,-0.06396052909357287,0.027918134607905057,0.1169704227153969,0.02400780861690109,0.610170262094519,0.07281033308154668,0.0017772240218853572,0.0054812208819567795,-0.11608146715843468,0.010923451227472104,0.0003597318739049228,0.0005099059704225306,-0.01573370223035897,0.034239282491763966,0.08715536089760585,0.009391606220696317,-0.3472951384304487,0.04342361024633516,-0.004672860005781404,0.0077770673650431115,0.1640962937868078,0.016457920153509237,123
1255,0.6709169728199779,-2.996983740476569,0.1987931472556609,2.3010517430271182,0.1384949684331829,0.2855857303816066,0.030962351489223678,0.027172531577503548,0.027623312399368164,0.5227396338706987,0.0879217145604657,-0.1018677950617681,0.007559244371670018,-0.15818467662842073,0.022151830131575293,-0.004845125269644685,0.0005228693116719826,-0.09698503175385487,0.03803173451033628,0.043174918411076194,0.011073901937631157,-0.3718664242524816,0.05513780621849593,0.0038515361544284935,0.013268771639892252,0.16114895696069484,0.01799698895757178,124
1230,0.7197117262942195,-3.4438549003368673,0.17177823580238435,2.3892910775585117,0.11752424935592053,0.05866085351680905,0.032800170911587094,0.02824040172538324,0.024773714733407344,0.6071218940420576,0.07679226775903066,0.01323764282472506,0.006206444188052152,-0.11616662848404022,0.012780499080267023,-0.0005304406950066274,0.0005196208861653899,-0.12961164820358817,0.038841843402168494,0.03488887042965555,0.010972043866695657,-0.3255257297696648,0.037956158528717275,-0.06617500824335606,0.018343829181989457,0.1666420302493774,0.018379899279505986,125
1155,0.8178278236793077,-3.1283967747490986,0.1547508067724301,2.105448045136162,0.11552498798467169,0.06326460485491636,0.025017213195230842,0.026448804104450233,0.02142764783146273,1.3149529108626177,0.07574090188628742,-0.022620001152779057,0.006650398610075618,-0.1261227061953108,0.012105624022160519,-0.0017637657919289285,0.00048096114786056685,0.030024489662454808,0.03492519420312778,0.012931317608025933,0.010481273278732502,-0.4267587595195669,0.06354452622133094,-0.0017008268179335689,0.012814156424807436,0.14391240045925346,0.01482816605409778,126
1273,0.7120164976254322,-2.032950181218854,0.15810091890144082,0.8622711119657468,0.12064010617546402,0.022856596543829474,0.031684901584162414,0.16948144327669756,0.026321929482618855,0.9153961884595343,0.09028213680781946,0.039624093606771583,0.005688213590814384,-0.029620025239962128,0.010304769547576356,0.003427774172816979,0.0004811704558487008,-0.05220382956179809,0.027780795262874698,0.0616723366249252,0.010548475615374822,-0.01089925486475742,0.03711644772995559,0.01162741998014831,0.011997790385511888,0.30632665498740697,0.01730380227730415,127
1285,0.7546729712714182,-4.190868086691933,0.2123013682998783,2.829337693088308,0.11212611406900591,0.1971086410075667,0.05561942535411678,0.0058178104140748765,0.03074049728589085,0.9082638096701243,0.09046148095782477,-0.010071926652090932,0.0068948776260109755,-0.10663392484060465,0.012962283285540563,-0.003752884645631574,0.0005497156033683715,0.09665145097513153,0.02874880477187252,0.04838966906035864,0.018416594191459485,-0.3562914294538703,0.03908074744968329,-0.0010364618174118652,0.017546246248561395,0.10508428243682826,0.01515057118609183,128
1260,0.7263863805361319,-2.654398709669496,0.19135070359214057,1.7695200222442555,0.12596971050668831,0.09524764107863179,0.0339857391420721,0.037743267225746634,0.0250872794256385,1.0465165004146106,0.0760262569526208,-0.02295313134105791,0.006504656454913018,-0.1577224196601013,0.015506501814043115,-0.0037303579050879917,0.0005910854092075436,0.07898704651854983,0.03026507383288007,-0.052136772866248036,0.013455085106105371,-0.4293007088456872,0.04808572366705391,-0.01278181634498455,0.009884142493383156,0.05330078917715096,0.017412159531996464,129
