n_train,n_test,n_countries,LASSO_test_r2,LASSO_test_rmse,Ridge_test_r2,Ridge_test_rmse,Elastic Net_test_r2,Elastic Net_test_rmse,Random Forest_test_r2,Random Forest_test_rmse,b
836,230,29,0.6926863596001496,0.5158487891001361,0.6949713855532853,0.5139274178964307,0.6928087322801968,0.5157460730537804,0.735320070007362,0.4787314976090543,115
895,245,34,0.60724577514055,0.5358334898287357,0.6599302912514398,0.49860128762496053,0.6101487400312369,0.5338495636422839,0.7026519819548231,0.46623185708008363,116
843,230,33,0.6775520623713375,0.6001810525432104,0.6765168867848509,0.601143680700011,0.6805019721633836,0.5974293712827831,0.7761589267687472,0.5000602904033673,117
992,270,34,0.6701906309834091,0.6067989215814062,0.6868733264224238,0.5912529738688977,0.6691825274569949,0.6077255923440451,0.7062775052575461,0.5726403019880345,118
953,255,33,0.602525947348371,0.6287176739584122,0.6323520718162254,0.6046684920103462,0.6042250105900454,0.627372460217318,0.5843115064242566,0.6429619599461781,119
937,255,37,0.5696125311541693,0.5673322648697148,0.5777475618826212,0.561944929793284,0.5696454550325283,0.5673105644984601,0.7405641250089203,0.44047644543792625,120
1006,270,35,0.648038486912211,0.6141477034896143,0.6520115760386405,0.610671487014266,0.6481952101884147,0.6140109528026991,0.6843840149525966,0.581573674602366,121
1049,285,37,0.6440928858524579,0.5045508630616897,0.6414943849413252,0.5063893926374646,0.6444908865167907,0.5042686718064925,0.7287254789489208,0.4404951403527523,122
1055,280,32,0.5859390016100945,0.5807020047274656,0.5834387197016184,0.5824526326355766,0.5866251121553875,0.5802206856003453,0.6282178597191321,0.5502568079231401,123
965,260,31,0.6925012035597152,0.5471486106538709,0.7044979938032048,0.5363691705405981,0.6945699856866541,0.545304958653967,0.7974899175534514,0.4440244815734069,124
923,250,34,0.7185078833251225,0.5119969106908756,0.7281873517820886,0.5031170706251554,0.7184498606424197,0.5120496757628394,0.794523665710786,0.4374366095409047,125
881,240,34,0.79030482405171,0.47507606569055105,0.7842093588730437,0.48193141180399685,0.7902534669641239,0.47513423829587936,0.836247587185708,0.4198196723502577,126
972,260,35,0.7839921722482208,0.4310619058356461,0.7883107684121724,0.4267310881689326,0.7843157610179587,0.43073891043387974,0.8225165775944276,0.39073633377164,127
950,255,34,0.7413070325137883,0.5780593196511203,0.742146001004622,0.5771212048587256,0.7426553592344435,0.5765509078088619,0.7611220766863487,0.5554795864481917,128
949,260,30,0.7270321917166078,0.5189998593711173,0.7319128233874245,0.5143391043522596,0.7299796310399855,0.5161902379062018,0.7236359013485648,0.5222186001488623,129
885,240,33,0.8229254681044349,0.48356482283824026,0.8260472082451168,0.479283359473417,0.8229813920046294,0.48348845678459934,0.8248951195545046,0.48086788617504045,130
913,250,34,0.8168911185549305,0.4365735627301877,0.8185976984106879,0.43453436139526697,0.8167068826871321,0.4367931377907668,0.830590604726343,0.41992475178172356,131
813,215,28,0.6770897525844528,0.40763159607151195,0.6867137384192656,0.40151114139721206,0.6812089219997727,0.4050232972157205,0.7907229884750959,0.32816154535531783,132
961,260,35,0.7589700272840034,0.4877875103833909,0.7725280183555241,0.47386988090314575,0.7606966598551452,0.48603722272950195,0.7160494791675277,0.5294396773883172,133
806,220,33,0.7713950540199543,0.5070584351650878,0.7663831838209931,0.5125866028248272,0.7708731944941705,0.5076368619149301,0.703761232966263,0.5772130567093634,134
972,260,32,0.6890784350076156,0.5552556815604741,0.692268966327066,0.552399448603268,0.692967566481211,0.5517720734535521,0.8136294913516356,0.42988885280907646,135
933,250,31,0.6485076784128095,0.5451966144742131,0.6212011659142567,0.565977994600118,0.6484614842797953,0.5452324389516882,0.6848479942849257,0.5162442969178994,136
929,255,34,0.5688472086137104,0.5961715787305806,0.5820132055053358,0.5869984407583296,0.5731116827887648,0.5932159256925799,0.7116059759066329,0.48758326981639627,137
898,245,32,0.6685385001849429,0.5958090897159236,0.6781727945602879,0.5870863135977481,0.6712685354781719,0.5933503682938152,0.684956194746821,0.5808661266356988,138
1073,285,31,0.7013040249190181,0.571724993144346,0.7236384385706098,0.5499349377193331,0.7005994536666392,0.5723988953087722,0.7603048407397595,0.5121558342507304,139
1067,290,36,0.6423740192193819,0.583149094776875,0.6543759425960036,0.5732803513524775,0.6440007520698443,0.5818212983412091,0.8207644512536362,0.41283560864352,140
779,210,31,0.744575054062389,0.4728744325309617,0.7679036421925223,0.45076308313023605,0.7515347150646234,0.466387645288214,0.7380488717399102,0.4788773704287585,141
926,260,39,0.7774406956261825,0.4951063230240924,0.7795129887190195,0.4927959165131124,0.7772450385718912,0.49532390494894885,0.7750933300590866,0.4977104539349026,142
1024,275,38,0.7572415226340667,0.48105452740181576,0.7610037213015179,0.4773123520258249,0.7577493366220642,0.48055111737284767,0.8284763322050301,0.40436087845351903,143
946,255,28,0.7006966323083814,0.5686088444133488,0.6985621010191616,0.5706328061079707,0.7006666494062784,0.5686373240734802,0.7788100844628937,0.4888104369787702,144
891,240,33,0.699143957259776,0.5584844907197315,0.6973693032308117,0.5601292299558817,0.6984098633482765,0.5591654314706961,0.6465472005581312,0.6053373352370686,145
707,190,27,0.7731951138949982,0.5275354900092695,0.77225993439863,0.5286219588310962,0.774365901584864,0.5261721349233199,0.8756677146633125,0.3905866876578526,146
790,215,32,0.6276694376337921,0.5824902269880531,0.6569266152904306,0.5591364614400507,0.6329275927450988,0.5783625581595625,0.8078404334887725,0.41846130509916996,147
1031,275,35,0.7745836424834658,0.511660554438191,0.7750245517322467,0.5111599113254043,0.7745945350062856,0.5116481921108605,0.8163773948715035,0.46179826351236375,148
969,270,36,0.7370608556463782,0.5208199587574323,0.7358010175019957,0.5220661877407441,0.7366096991940063,0.5212665841157799,0.7551422260980926,0.5025935890806686,149
1016,275,34,0.727345511710518,0.4390850911256324,0.7371637987190329,0.43110688263927077,0.7294778888106286,0.4373647218082844,0.7102916583704346,0.45260866658060317,150
