n_obs,r2,coef__const,se__const,coef__log_HCI,se__log_HCI,coef__log_GFCF,se__log_GFCF,coef__Political stability — estimate,se__Political stability — estimate,coef__Rule of law index,se__Rule of law index,coef__log_Production_Value,se__log_Production_Value,coef__Forestry rents (% of GDP),se__Forestry rents (% of GDP),coef__Trade (% of GDP),se__Trade (% of GDP),coef__log_HCI_x_log_Production,se__log_HCI_x_log_Production,coef__log_GFCF_x_log_Production,se__log_GFCF_x_log_Production,coef__log_HCI_x_forestry_rents,se__log_HCI_x_forestry_rents,coef__log_GFCF_x_forestry_rents,se__log_GFCF_x_forestry_rents,b
1278,0.6728278940942971,-3.7412992810527714,0.15225433232223268,1.867283459247414,0.10940684462821457,0.13463723468355768,0.028794577299118298,0.03872218133423365,0.02499502396663592,1.1929017979950949,0.08058717369771287,0.050032425128710215,0.006451328868865002,-0.033192074099697495,0.00701580372652338,0.0016649414945887559,0.0005156511321722085,0.24275658501448744,0.03439169258317884,-0.018864589905301807,0.014744113276350683,-0.21791142095558702,0.03380781622949491,0.009914808364255488,0.008361618517800542,11
1261,0.7679699247577647,-3.5618247161203294,0.22221442772911723,2.5422052913328574,0.16607713233983729,0.08551281915187783,0.03133465977676333,0.06841573312690097,0.029718866454713614,0.7511664308880388,0.09472966764415301,-0.001344103725844521,0.006859930068613457,-0.19381360211546744,0.017602367805009005,-0.0021041834733120063,0.0005281718187777529,-0.021442010633553735,0.031671812713113694,-0.013460435200919463,0.01069609827819373,-0.7666024782065638,0.07372204389936338,0.045565917178099435,0.010370336793393825,12
1386,0.6363838509025057,-3.503496899832703,0.1607201301497577,2.1559839310353652,0.11589824504740802,0.07532026132641223,0.035357865737059256,0.02084394713130715,0.024601230891098287,1.0362731357937347,0.07590190713214001,0.0016673725695423055,0.0081334012872482,-0.08018588134497331,0.006683997514389318,0.0005969952362159914,0.0004748446983609331,0.06664572440717914,0.03462996624967215,0.0556964411616612,0.01751955831570015,-0.23671552551153652,0.03644167306946051,-0.011267395059194696,0.0114834197700844,13
1314,0.7057920805944935,-3.5262724180905987,0.16961270827925026,2.0370575482040083,0.12231733280889051,0.314645677544308,0.03273026593275224,0.08074807401061741,0.025537347484382755,0.9230940832472467,0.08379228222378816,-0.04645719154906373,0.0066253623192312015,-0.12872522486159851,0.012403524838200043,0.0004678932663061221,0.0005058966608571477,-0.14669335663838035,0.030583712560487638,0.05405345378413193,0.009605337840288681,-0.2999561016049122,0.04059050675222019,-0.0027857743226275804,0.01291521912539461,14
1094,0.7616290583769021,-3.3176927791689197,0.14464900433898029,1.3815388223498857,0.10655079609656283,0.2145728237701221,0.020008692389217177,0.10403617616970687,0.024259111048689136,1.4713536462449568,0.07748533679558808,0.0366980827571353,0.005922783866353534,-0.05194524432779162,0.0102099196190757,0.0008850631576888307,0.0004678485185517112,0.12553203595090215,0.0319854682977222,-0.014521816629850068,0.011096486515968977,-0.1998805510123762,0.030886450729894196,0.034656477298794446,0.00793447801927308,15
1150,0.7194242707669971,-2.872193493246283,0.1653061017236577,1.8269092599991819,0.12565071327262298,0.22292727160303588,0.020282621428870464,0.1564253519363896,0.026575770105067578,0.44620296309828894,0.0740776512123702,0.025570275914942774,0.006064818142108266,-0.1478339182078855,0.008543578283387424,-0.002440854785476368,0.0005321353170007506,0.13465857345739451,0.03292563191489408,-0.02177804794926482,0.009139328387933934,-0.3641034748522626,0.028709612045776597,0.005505163662682861,0.008680045843907188,16
1284,0.6790989075846809,-2.5825750680754043,0.16947411042193453,1.4493985191518035,0.1298045577629998,0.25326523351814445,0.022296256945167223,-0.019384230261858874,0.02905376400751338,1.085099607060635,0.06814775071190934,-0.025450647594005775,0.006559039795639264,-0.2450372172056244,0.017572120146381525,-0.0026470852931360775,0.0005053140971961468,-0.10204705026458258,0.03472360726975485,0.03641686729018044,0.0103104063414032,-0.6236200981291252,0.05934937474527488,0.004796957629674754,0.009603288990138684,17
1445,0.668645878932818,-3.1728077504007954,0.13773591894961376,1.9208447886841693,0.10613941123563629,0.11051321461186694,0.02184905536760146,0.028730190315971394,0.023416550980639276,0.7894768760139868,0.09015635608716255,-0.032319506986782154,0.00618365793249191,-0.05590729812576852,0.010240205701216394,0.0030024954327232973,0.0005755894985799533,0.022733947126809317,0.027451121816617036,0.004639367377691925,0.007313686809656262,-0.2655161217187326,0.04439560721342863,-0.017943993842763534,0.011339152686406416,18
1298,0.6706817549980648,-3.30417677616899,0.1456114491566172,2.201383410673812,0.10458873534362371,0.08286013087697491,0.023869736127678027,0.2612849038472412,0.026861711556706063,0.5788280280936379,0.08114807312606312,-0.017516502417340075,0.0061856661374386866,-0.025731898398925084,0.012409210297002657,0.0015623527224416173,0.0005285093807348343,0.002260565876123475,0.02996235491421853,-0.04429280931725817,0.012874819818698839,-0.09677406452077232,0.035264743182409214,0.0049521211911251915,0.007467933696465809,19
1386,0.7811198286322243,-2.582551703106183,0.16330763781773652,1.721403990956998,0.10496859305448172,0.06981439451885213,0.030294883941953454,0.2618385980591109,0.0246755935683507,0.9053707407010029,0.07603574214313819,-0.04075219211400758,0.005597895961686637,-0.10455171870027455,0.009740026082798586,0.0007298015816060058,0.00039868786838367107,0.05685759461191418,0.030704791707912703,0.061606445252297,0.010594944855561395,-0.32626834458446086,0.03989360828287237,0.008325624243103511,0.01245511513553525,20
